interaction_id,customer_id,interaction_date,interaction_type,channel,resolution_time_hours,satisfaction_score,repeat_contact_flag
INT007586,CUST009117,2023-10-25,Branch Visit,Mobile App,12.2,4.9,False
INT007587,CUST017728,2023-12-07,Complaint,Phone,4.6,5.0,False
INT007588,CUST002763,2024-04-15,Chat,Chat,34.5,1.9,False
INT007589,CUST014918,2024-01-05,Support Call,Branch,8.5,4.1,False
INT007590,CUST013589,2024-11-08,Support Call,Branch,0.4,2.4,False
INT007591,CUST013105,2023-10-01,Complaint,Mobile App,19.0,4.0,True
INT007592,CUST017888,2023-10-08,Chat,Mobile App,1.2,3.6,True
INT007593,CUST000174,2024-09-04,Support Call,Branch,6.0,3.2,False
INT007594,CUST005184,2024-02-05,Support Call,Branch,8.9,4.4,False
INT007595,CUST016062,2023-08-13,Complaint,Mobile App,2.9,4.8,False
INT007596,CUST002751,2023-11-05,Support Call,Branch,20.2,4.8,False
INT007597,CUST006561,2024-07-25,Email Inquiry,Email,15.3,2.7,False
INT007598,CUST016830,2023-02-11,Branch Visit,Phone,5.1,3.7,False
INT007599,CUST016844,2024-08-17,Chat,Mobile App,5.0,3.7,False
INT007600,CUST018409,2023-10-20,Support Call,Branch,25.4,4.4,False
INT007601,CUST018456,2023-03-17,Support Call,Email,9.1,3.3,True
INT007602,CUST015878,2024-10-01,Chat,Email,9.3,2.0,False
INT007603,CUST008113,2023-07-22,Support Call,Email,20.6,4.5,True
INT007604,CUST001876,2024-06-20,Support Call,Chat,5.3,2.3,False
INT007605,CUST005841,2023-08-10,Branch Visit,Branch,11.8,5.0,False
INT007606,CUST017502,2023-10-14,Support Call,Phone,22.5,3.8,False
INT007607,CUST007770,2024-12-18,Branch Visit,Phone,12.3,4.4,False
INT007608,CUST011902,2024-05-22,Chat,Phone,10.9,5.0,True
INT007609,CUST001478,2024-12-30,Complaint,Branch,3.8,4.0,False
INT007610,CUST012540,2023-03-19,Branch Visit,Branch,11.3,3.8,True
INT007611,CUST013742,2024-03-20,Email Inquiry,Chat,4.5,3.7,False
INT007612,CUST009730,2023-07-11,Complaint,Chat,7.2,2.6,True
INT007613,CUST016561,2023-06-27,Branch Visit,Chat,19.1,3.8,False
INT007614,CUST018098,2024-09-05,Complaint,Email,9.9,3.6,False
INT007615,CUST013605,2023-08-09,Branch Visit,Chat,12.9,4.2,False
INT007616,CUST002677,2024-04-22,Branch Visit,Email,2.6,3.3,True
INT007617,CUST007668,2023-06-11,Support Call,Email,12.0,4.5,False
INT007618,CUST011861,2023-12-20,Email Inquiry,Branch,8.5,4.9,False
INT007619,CUST017476,2024-01-24,Branch Visit,Phone,14.9,4.7,False
INT007620,CUST018886,2024-03-13,Complaint,Chat,26.2,2.7,True
INT007621,CUST012333,2023-05-26,Support Call,Chat,37.2,4.1,False
INT007622,CUST012110,2024-07-06,Email Inquiry,Branch,4.2,3.6,False
INT007623,CUST019046,2024-06-28,Complaint,Email,9.8,3.1,False
INT007624,CUST012366,2024-02-20,Chat,Mobile App,12.9,5.0,False
INT007625,CUST016694,2023-10-14,Chat,Email,16.0,3.9,False
INT007626,CUST008701,2024-11-30,Chat,Phone,1.6,3.9,False
INT007627,CUST015436,2024-12-02,Support Call,Branch,9.4,3.7,False
INT007628,CUST011621,2024-08-18,Email Inquiry,Phone,8.4,5.0,False
INT007629,CUST010017,2024-09-28,Complaint,Branch,21.8,4.9,False
INT007630,CUST003418,2023-06-18,Complaint,Branch,6.8,3.1,False
INT007631,CUST009200,2024-03-23,Branch Visit,Chat,7.9,4.0,False
INT007632,CUST009197,2023-03-02,Support Call,Branch,9.6,2.5,False
INT007633,CUST012925,2024-10-26,Chat,Phone,8.5,4.1,True
INT007634,CUST016272,2024-12-27,Branch Visit,Phone,6.8,4.3,False
INT007635,CUST013839,2024-05-27,Branch Visit,Branch,3.1,3.9,False
INT007636,CUST011642,2023-05-11,Chat,Email,2.7,2.4,False
INT007637,CUST015224,2024-08-24,Complaint,Branch,1.9,4.3,False
INT007638,CUST007854,2023-04-29,Complaint,Chat,0.5,4.4,False
INT007639,CUST002407,2023-12-10,Email Inquiry,Mobile App,6.8,3.8,False
INT007640,CUST010947,2024-06-14,Support Call,Branch,1.2,1.7,False
INT007641,CUST002059,2024-12-01,Complaint,Email,14.6,4.0,False
INT007642,CUST000433,2024-11-12,Chat,Mobile App,7.7,3.8,False
INT007643,CUST019939,2024-05-15,Chat,Chat,4.6,5.0,False
INT007644,CUST015326,2023-06-29,Support Call,Chat,3.9,3.4,False
INT007645,CUST018590,2024-04-21,Branch Visit,Branch,5.3,4.4,False
INT007646,CUST009235,2024-10-16,Complaint,Branch,1.9,4.2,False
INT007647,CUST016550,2023-04-20,Branch Visit,Email,4.1,2.8,False
INT007648,CUST011808,2024-09-06,Chat,Chat,8.8,2.7,False
INT007649,CUST016612,2023-01-26,Complaint,Mobile App,13.7,3.1,False
INT007650,CUST012374,2024-02-22,Email Inquiry,Mobile App,1.8,3.9,False
INT007651,CUST014754,2023-09-22,Email Inquiry,Phone,11.5,2.7,False
INT007652,CUST018785,2024-02-09,Branch Visit,Branch,0.4,2.6,True
INT007653,CUST010548,2023-11-13,Branch Visit,Branch,2.2,3.3,False
INT007654,CUST011481,2023-04-19,Chat,Branch,8.3,4.2,False
INT007655,CUST018366,2024-01-05,Branch Visit,Email,7.8,3.5,False
INT007656,CUST005729,2024-02-22,Complaint,Branch,7.7,2.2,False
INT007657,CUST006596,2024-08-30,Branch Visit,Chat,7.4,2.5,False
INT007658,CUST014351,2023-03-26,Branch Visit,Mobile App,8.0,1.8,False
INT007659,CUST015088,2024-12-10,Email Inquiry,Email,18.1,3.7,False
INT007660,CUST005308,2024-12-30,Branch Visit,Mobile App,11.4,4.3,False
INT007661,CUST000241,2024-06-12,Branch Visit,Email,9.4,2.5,False
INT007662,CUST003269,2024-02-24,Chat,Mobile App,10.9,4.1,False
INT007663,CUST013495,2023-05-25,Support Call,Branch,24.6,4.0,False
INT007664,CUST009137,2023-11-26,Support Call,Mobile App,6.0,4.4,False
INT007665,CUST003270,2023-02-27,Complaint,Phone,1.3,5.0,False
INT007666,CUST003071,2023-08-11,Chat,Email,9.6,4.0,False
INT007667,CUST006714,2023-02-01,Complaint,Phone,35.0,5.0,False
INT007668,CUST007354,2024-02-11,Branch Visit,Email,1.3,1.5,False
INT007669,CUST003698,2023-02-23,Support Call,Chat,0.7,3.3,False
INT007670,CUST010940,2023-03-30,Support Call,Mobile App,12.2,3.1,True
INT007671,CUST014513,2023-10-22,Branch Visit,Branch,1.2,3.2,False
INT007672,CUST009199,2024-11-10,Chat,Mobile App,6.5,3.0,False
INT007673,CUST013322,2023-02-01,Chat,Chat,21.4,2.9,False
INT007674,CUST017693,2024-06-09,Branch Visit,Mobile App,24.8,2.3,False
INT007675,CUST012359,2023-12-24,Chat,Phone,9.5,4.6,False
INT007676,CUST019781,2023-03-31,Support Call,Chat,59.9,4.6,False
INT007677,CUST005976,2024-08-08,Support Call,Mobile App,11.8,4.3,True
INT007678,CUST015016,2024-11-11,Branch Visit,Phone,15.3,2.4,False
INT007679,CUST013383,2023-07-13,Branch Visit,Mobile App,4.2,3.0,False
INT007680,CUST010066,2023-11-18,Chat,Phone,6.4,3.9,False
INT007681,CUST006437,2024-09-20,Support Call,Branch,7.7,3.1,False
INT007682,CUST009522,2024-06-19,Support Call,Branch,16.8,3.2,True
INT007683,CUST019912,2024-04-25,Support Call,Chat,24.3,5.0,False
INT007684,CUST003396,2023-06-28,Branch Visit,Chat,14.7,3.4,False
INT007685,CUST002296,2024-01-16,Support Call,Phone,3.3,3.5,False
INT007686,CUST002927,2023-03-01,Complaint,Chat,9.6,3.7,False
INT007687,CUST000137,2024-01-02,Branch Visit,Mobile App,3.4,2.1,True
INT007688,CUST017375,2024-02-26,Chat,Phone,7.9,3.8,False
INT007689,CUST015615,2024-02-20,Chat,Branch,21.2,4.4,False
INT007690,CUST010229,2024-02-18,Email Inquiry,Branch,30.2,3.5,False
INT007691,CUST019762,2024-09-05,Support Call,Branch,33.3,3.1,False
INT007692,CUST012461,2023-07-16,Branch Visit,Phone,35.0,3.2,False
INT007693,CUST001689,2024-09-13,Complaint,Chat,6.6,3.9,False
INT007694,CUST016108,2024-07-08,Complaint,Branch,16.4,2.2,False
INT007695,CUST001177,2023-08-29,Email Inquiry,Chat,3.9,5.0,False
INT007696,CUST013892,2024-12-27,Branch Visit,Mobile App,2.5,4.6,False
INT007697,CUST006391,2023-09-11,Complaint,Chat,7.0,3.0,True
INT007698,CUST009818,2024-11-11,Complaint,Phone,4.8,3.3,True
INT007699,CUST016801,2024-03-22,Support Call,Chat,7.9,4.5,False
INT007700,CUST001069,2024-04-18,Branch Visit,Chat,6.8,4.5,False
INT007701,CUST010363,2023-07-07,Complaint,Chat,1.5,1.4,False
INT007702,CUST002316,2024-09-16,Branch Visit,Mobile App,1.2,2.7,False
INT007703,CUST019978,2023-10-29,Support Call,Phone,21.6,3.7,False
INT007704,CUST016381,2023-03-31,Support Call,Mobile App,12.6,2.4,False
INT007705,CUST019101,2023-05-25,Branch Visit,Chat,5.8,3.6,True
INT007706,CUST004761,2024-11-29,Support Call,Phone,31.3,4.2,False
INT007707,CUST008768,2023-11-15,Email Inquiry,Mobile App,2.3,4.0,False
INT007708,CUST015902,2023-04-18,Support Call,Branch,1.0,4.7,False
INT007709,CUST005586,2023-07-16,Support Call,Mobile App,18.8,2.7,False
INT007710,CUST009394,2024-02-28,Chat,Mobile App,19.4,3.2,False
INT007711,CUST018611,2023-11-19,Email Inquiry,Branch,6.6,5.0,False
INT007712,CUST010442,2024-11-02,Branch Visit,Phone,18.2,3.1,False
INT007713,CUST015506,2024-09-29,Support Call,Mobile App,19.0,3.8,True
INT007714,CUST010538,2024-08-07,Branch Visit,Chat,3.2,4.1,False
INT007715,CUST014334,2024-09-04,Support Call,Chat,2.1,3.8,False
INT007716,CUST007679,2024-02-02,Support Call,Email,10.4,3.7,False
INT007717,CUST019818,2024-11-07,Chat,Mobile App,5.1,3.2,True
INT007718,CUST001811,2023-11-04,Support Call,Branch,11.4,4.0,False
INT007719,CUST013247,2023-03-06,Complaint,Branch,6.3,3.9,True
INT007720,CUST017182,2024-09-18,Email Inquiry,Phone,8.9,4.5,True
INT007721,CUST001458,2024-09-02,Branch Visit,Phone,5.4,3.3,False
INT007722,CUST006323,2023-03-12,Branch Visit,Phone,8.4,3.4,False
INT007723,CUST013098,2024-12-28,Complaint,Mobile App,5.5,4.6,False
INT007724,CUST018378,2024-01-04,Chat,Mobile App,9.6,4.1,False
INT007725,CUST001096,2023-12-04,Email Inquiry,Phone,16.4,4.6,False
INT007726,CUST002969,2023-09-05,Branch Visit,Chat,4.8,4.6,False
INT007727,CUST004630,2023-07-29,Branch Visit,Chat,5.5,3.5,False
INT007728,CUST005661,2024-10-25,Chat,Phone,11.7,3.1,False
INT007729,CUST018553,2024-09-16,Email Inquiry,Chat,22.8,3.4,False
INT007730,CUST004299,2023-03-08,Email Inquiry,Mobile App,22.4,2.9,False
INT007731,CUST014667,2023-10-21,Support Call,Mobile App,4.4,3.2,False
INT007732,CUST002550,2024-01-03,Chat,Chat,4.0,3.8,False
INT007733,CUST012525,2023-11-08,Chat,Phone,2.5,4.5,False
INT007734,CUST018907,2024-10-05,Branch Visit,Phone,2.6,4.3,False
INT007735,CUST017461,2024-09-14,Chat,Phone,12.6,5.0,False
INT007736,CUST015032,2023-05-18,Complaint,Chat,20.7,2.5,False
INT007737,CUST015718,2023-11-09,Chat,Mobile App,6.0,3.4,False
INT007738,CUST002463,2024-01-24,Chat,Branch,23.9,5.0,False
INT007739,CUST011226,2023-02-25,Support Call,Chat,23.0,3.0,False
INT007740,CUST007464,2023-06-12,Chat,Email,2.9,4.7,False
INT007741,CUST012451,2023-07-05,Email Inquiry,Mobile App,5.2,3.2,False
INT007742,CUST011452,2023-06-22,Branch Visit,Phone,4.5,3.4,False
INT007743,CUST005540,2024-06-02,Chat,Email,1.3,3.5,False
INT007744,CUST011842,2024-03-02,Chat,Branch,9.7,5.0,False
INT007745,CUST018296,2023-02-15,Support Call,Chat,6.2,2.8,False
INT007746,CUST004084,2024-01-19,Complaint,Mobile App,4.7,3.2,False
INT007747,CUST006499,2023-12-16,Complaint,Phone,17.6,4.4,True
INT007748,CUST002639,2023-03-28,Support Call,Email,19.6,2.7,False
INT007749,CUST014606,2023-10-07,Email Inquiry,Chat,1.3,5.0,False
INT007750,CUST012735,2024-08-24,Complaint,Phone,10.2,3.0,False
INT007751,CUST008054,2023-07-12,Support Call,Branch,7.9,2.6,False
INT007752,CUST009774,2024-10-27,Complaint,Email,7.2,4.1,False
INT007753,CUST007716,2023-04-25,Branch Visit,Branch,9.0,2.8,False
INT007754,CUST011132,2023-07-12,Email Inquiry,Branch,10.4,2.6,False
INT007755,CUST018534,2024-01-12,Support Call,Mobile App,10.5,3.3,False
INT007756,CUST007750,2023-05-17,Email Inquiry,Branch,17.8,3.4,False
INT007757,CUST007189,2024-03-19,Complaint,Phone,3.8,3.8,False
INT007758,CUST001069,2023-12-03,Email Inquiry,Chat,4.9,4.9,True
INT007759,CUST004780,2024-02-15,Support Call,Chat,3.6,2.8,False
INT007760,CUST000738,2024-02-03,Support Call,Phone,27.2,3.8,False
INT007761,CUST011814,2023-03-11,Support Call,Phone,20.7,1.5,False
INT007762,CUST005251,2024-07-03,Support Call,Branch,13.4,3.3,False
INT007763,CUST003165,2023-10-01,Support Call,Branch,15.3,4.9,False
INT007764,CUST001810,2024-04-21,Complaint,Phone,6.0,3.5,False
INT007765,CUST010847,2023-03-26,Complaint,Chat,20.4,3.9,False
INT007766,CUST004876,2023-05-13,Branch Visit,Branch,26.2,4.6,False
INT007767,CUST005126,2023-07-16,Branch Visit,Branch,22.9,4.0,False
INT007768,CUST014902,2023-10-30,Support Call,Email,14.3,4.1,False
INT007769,CUST004204,2024-07-15,Branch Visit,Mobile App,7.6,3.5,False
INT007770,CUST001172,2024-06-16,Chat,Phone,7.2,4.2,False
INT007771,CUST008181,2023-03-22,Complaint,Chat,21.4,3.9,False
INT007772,CUST017412,2023-04-03,Support Call,Chat,6.1,3.1,False
INT007773,CUST005566,2023-01-23,Email Inquiry,Phone,26.2,2.6,False
INT007774,CUST013147,2023-02-19,Email Inquiry,Phone,6.8,4.3,False
INT007775,CUST016329,2024-12-26,Complaint,Mobile App,7.2,4.2,False
INT007776,CUST011950,2024-01-22,Branch Visit,Email,8.5,4.4,True
INT007777,CUST003238,2024-03-15,Support Call,Email,36.4,3.9,False
INT007778,CUST006012,2024-05-22,Branch Visit,Branch,4.1,4.9,False
INT007779,CUST012869,2023-05-07,Support Call,Email,2.3,3.4,False
INT007780,CUST000402,2023-04-16,Complaint,Email,9.6,4.3,False
INT007781,CUST012193,2023-09-13,Support Call,Chat,11.9,3.0,False
INT007782,CUST011870,2023-04-14,Branch Visit,Mobile App,13.1,4.6,False
INT007783,CUST006523,2024-06-22,Support Call,Phone,6.2,2.4,False
INT007784,CUST019180,2024-04-05,Complaint,Chat,25.1,3.2,False
INT007785,CUST001343,2023-10-15,Branch Visit,Mobile App,6.1,3.5,False
INT007786,CUST000579,2023-01-14,Email Inquiry,Branch,20.8,3.4,False
INT007787,CUST005793,2024-11-07,Support Call,Chat,4.2,4.1,False
INT007788,CUST016745,2024-06-29,Email Inquiry,Chat,9.4,3.7,False
INT007789,CUST009079,2023-02-05,Branch Visit,Mobile App,6.2,3.6,False
INT007790,CUST004721,2024-07-28,Support Call,Phone,4.5,2.6,False
INT007791,CUST003576,2024-09-27,Branch Visit,Branch,6.8,3.4,False
INT007792,CUST014086,2023-10-26,Email Inquiry,Branch,10.1,3.2,False
INT007793,CUST004734,2024-10-12,Chat,Mobile App,15.5,3.8,False
INT007794,CUST012659,2023-03-21,Support Call,Phone,14.3,4.2,False
INT007795,CUST012390,2023-08-05,Chat,Branch,20.0,4.5,False
INT007796,CUST007851,2024-10-14,Branch Visit,Chat,10.9,3.4,False
INT007797,CUST012391,2024-09-07,Complaint,Email,1.4,5.0,False
INT007798,CUST006131,2024-05-20,Branch Visit,Mobile App,18.2,4.3,False
INT007799,CUST013641,2023-01-26,Support Call,Phone,8.5,4.0,False
INT007800,CUST017574,2023-02-19,Support Call,Email,1.6,2.4,False
INT007801,CUST019928,2024-01-10,Branch Visit,Email,6.6,4.0,False
INT007802,CUST009912,2024-07-02,Chat,Phone,50.5,2.4,False
INT007803,CUST015298,2023-06-23,Support Call,Mobile App,16.0,4.3,False
INT007804,CUST008456,2024-05-25,Email Inquiry,Mobile App,1.2,5.0,False
INT007805,CUST008985,2024-08-16,Branch Visit,Branch,33.3,5.0,True
INT007806,CUST003618,2023-07-04,Branch Visit,Chat,6.9,2.6,True
INT007807,CUST002502,2024-06-24,Complaint,Branch,22.7,3.6,False
INT007808,CUST007893,2024-02-24,Email Inquiry,Chat,5.5,5.0,False
INT007809,CUST012759,2024-08-20,Branch Visit,Phone,3.4,3.6,False
INT007810,CUST000912,2023-04-08,Support Call,Chat,12.3,2.7,False
INT007811,CUST001091,2023-02-18,Branch Visit,Chat,3.1,2.8,False
INT007812,CUST009528,2023-12-04,Complaint,Phone,11.1,3.7,False
INT007813,CUST012834,2024-04-02,Chat,Phone,13.3,1.7,False
INT007814,CUST007732,2024-06-21,Email Inquiry,Chat,10.7,5.0,False
INT007815,CUST016585,2024-12-13,Complaint,Mobile App,14.6,5.0,False
INT007816,CUST001028,2024-11-19,Chat,Chat,35.3,4.3,False
INT007817,CUST010897,2023-09-15,Complaint,Branch,18.9,3.8,False
INT007818,CUST001331,2023-11-01,Complaint,Branch,10.9,4.0,False
INT007819,CUST008727,2023-04-04,Email Inquiry,Email,3.2,3.8,True
INT007820,CUST000024,2024-04-09,Chat,Email,14.4,4.2,False
INT007821,CUST017339,2024-07-28,Support Call,Phone,4.1,2.8,False
INT007822,CUST017844,2023-08-21,Support Call,Phone,34.9,2.8,False
INT007823,CUST014745,2023-08-26,Complaint,Email,21.2,4.1,False
INT007824,CUST009351,2023-02-24,Chat,Chat,37.2,4.4,False
INT007825,CUST007732,2023-12-17,Email Inquiry,Mobile App,16.1,4.9,True
INT007826,CUST001956,2023-03-25,Complaint,Phone,20.1,4.7,False
INT007827,CUST009218,2023-05-26,Chat,Phone,14.9,2.8,False
INT007828,CUST014364,2023-12-20,Branch Visit,Chat,35.3,4.4,False
INT007829,CUST015569,2023-05-21,Chat,Mobile App,19.6,2.5,False
INT007830,CUST016164,2024-04-01,Chat,Branch,12.4,4.1,False
INT007831,CUST015463,2024-05-08,Chat,Branch,2.3,5.0,False
INT007832,CUST018121,2024-08-15,Complaint,Chat,8.2,3.5,False
INT007833,CUST011182,2023-01-07,Branch Visit,Branch,21.5,3.7,True
INT007834,CUST015025,2023-03-17,Complaint,Email,12.8,2.1,False
INT007835,CUST017473,2023-09-07,Support Call,Email,8.5,5.0,False
INT007836,CUST016397,2023-05-29,Support Call,Mobile App,15.4,3.5,False
INT007837,CUST004886,2024-10-05,Chat,Phone,22.3,5.0,False
INT007838,CUST009933,2023-10-12,Support Call,Branch,5.0,3.1,False
INT007839,CUST017657,2023-11-02,Branch Visit,Branch,9.5,3.8,False
INT007840,CUST016238,2023-12-17,Chat,Phone,21.2,4.2,False
INT007841,CUST016276,2023-06-20,Support Call,Mobile App,7.2,3.4,False
INT007842,CUST001128,2024-06-13,Support Call,Mobile App,10.4,5.0,False
INT007843,CUST007931,2023-06-13,Chat,Branch,12.1,1.6,False
INT007844,CUST000372,2023-08-08,Branch Visit,Mobile App,25.2,3.3,False
INT007845,CUST010762,2023-11-10,Complaint,Chat,2.4,4.4,False
INT007846,CUST010772,2023-09-02,Email Inquiry,Mobile App,9.5,2.8,True
INT007847,CUST018783,2024-03-01,Support Call,Phone,12.2,4.6,False
INT007848,CUST011489,2023-04-20,Support Call,Phone,1.4,3.2,True
INT007849,CUST012542,2023-07-06,Chat,Phone,7.9,4.3,True
INT007850,CUST003898,2023-03-23,Support Call,Phone,17.9,2.7,False
INT007851,CUST003248,2023-08-01,Support Call,Mobile App,2.1,3.9,False
INT007852,CUST008911,2023-02-08,Support Call,Chat,9.3,3.9,False
INT007853,CUST019601,2024-09-29,Branch Visit,Mobile App,20.4,3.7,True
INT007854,CUST009257,2023-01-10,Complaint,Branch,14.7,3.4,False
INT007855,CUST015626,2023-01-13,Complaint,Chat,14.5,2.8,False
INT007856,CUST014010,2023-08-16,Support Call,Chat,16.1,5.0,False
INT007857,CUST010747,2023-09-16,Chat,Phone,7.8,2.9,False
INT007858,CUST005350,2024-05-07,Branch Visit,Mobile App,24.8,4.2,False
INT007859,CUST010222,2023-03-14,Chat,Mobile App,4.3,2.7,True
INT007860,CUST012243,2024-09-17,Support Call,Branch,20.8,2.8,False
INT007861,CUST005942,2023-11-13,Support Call,Chat,7.1,2.8,False
INT007862,CUST005971,2024-04-22,Complaint,Mobile App,7.8,3.7,False
INT007863,CUST012319,2023-07-15,Support Call,Mobile App,19.6,3.9,False
INT007864,CUST002736,2024-03-17,Support Call,Email,21.6,3.6,True
INT007865,CUST016156,2023-02-07,Email Inquiry,Phone,6.3,5.0,False
INT007866,CUST014160,2024-07-19,Branch Visit,Branch,5.6,3.5,False
INT007867,CUST012980,2024-07-18,Complaint,Phone,10.4,3.5,False
INT007868,CUST008961,2023-11-29,Branch Visit,Mobile App,5.5,2.2,False
INT007869,CUST000654,2023-09-14,Branch Visit,Phone,5.7,2.6,False
INT007870,CUST019488,2024-01-11,Support Call,Mobile App,25.4,5.0,False
INT007871,CUST003535,2024-04-08,Support Call,Mobile App,11.9,3.9,True
INT007872,CUST015135,2024-04-23,Support Call,Phone,10.3,2.2,False
INT007873,CUST015288,2024-06-05,Chat,Email,4.7,4.3,False
INT007874,CUST016353,2024-04-21,Email Inquiry,Mobile App,26.8,5.0,False
INT007875,CUST015703,2024-10-16,Branch Visit,Mobile App,2.1,5.0,True
INT007876,CUST011138,2023-11-19,Branch Visit,Chat,34.0,2.6,False
INT007877,CUST009379,2024-08-20,Branch Visit,Phone,9.3,2.9,True
INT007878,CUST006121,2024-07-20,Support Call,Mobile App,5.1,3.7,False
INT007879,CUST010838,2024-05-31,Support Call,Branch,4.3,4.3,True
INT007880,CUST012338,2023-04-27,Complaint,Phone,9.2,2.8,False
INT007881,CUST011822,2024-05-01,Complaint,Mobile App,40.1,3.4,True
INT007882,CUST007309,2024-06-14,Chat,Phone,14.2,4.8,False
INT007883,CUST004912,2024-08-17,Branch Visit,Chat,14.4,3.6,True
INT007884,CUST014420,2024-11-11,Complaint,Branch,14.1,4.7,False
INT007885,CUST017763,2023-11-05,Complaint,Chat,1.5,4.7,False
INT007886,CUST006454,2023-04-05,Branch Visit,Email,5.8,2.8,False
INT007887,CUST015221,2023-06-19,Email Inquiry,Phone,14.0,1.8,False
INT007888,CUST000921,2024-11-05,Branch Visit,Chat,3.3,3.9,True
INT007889,CUST005596,2023-07-06,Email Inquiry,Chat,16.9,3.6,False
INT007890,CUST015818,2024-09-07,Support Call,Chat,33.6,4.2,False
INT007891,CUST003332,2023-07-08,Branch Visit,Phone,3.4,5.0,False
INT007892,CUST002939,2023-03-24,Chat,Email,1.7,3.5,False
INT007893,CUST014928,2024-07-22,Branch Visit,Phone,7.5,3.9,False
INT007894,CUST000540,2023-06-10,Complaint,Email,13.2,4.4,False
INT007895,CUST015495,2023-04-15,Support Call,Email,14.3,4.5,False
INT007896,CUST013663,2024-10-26,Complaint,Branch,8.2,4.9,False
INT007897,CUST016048,2024-04-09,Branch Visit,Phone,23.4,4.4,True
INT007898,CUST010155,2023-08-04,Support Call,Email,10.5,5.0,False
INT007899,CUST005701,2023-10-31,Branch Visit,Mobile App,19.2,4.3,False
INT007900,CUST003814,2023-04-25,Support Call,Phone,20.1,3.7,True
INT007901,CUST009032,2023-02-26,Support Call,Email,28.7,5.0,False
INT007902,CUST000990,2024-01-13,Chat,Mobile App,14.2,4.0,True
INT007903,CUST010920,2023-03-04,Branch Visit,Branch,15.6,4.0,False
INT007904,CUST003412,2023-01-31,Chat,Email,11.3,2.2,False
INT007905,CUST015045,2023-01-11,Complaint,Branch,11.9,3.1,True
INT007906,CUST007111,2023-11-28,Branch Visit,Chat,21.8,3.6,False
INT007907,CUST004386,2023-01-15,Chat,Chat,9.1,4.9,False
INT007908,CUST002417,2023-10-30,Support Call,Phone,5.6,3.5,False
INT007909,CUST010035,2023-01-16,Email Inquiry,Email,5.8,3.6,False
INT007910,CUST016444,2023-11-13,Support Call,Mobile App,16.4,2.5,False
INT007911,CUST017847,2023-06-18,Branch Visit,Email,13.7,4.1,False
INT007912,CUST010714,2024-02-08,Support Call,Branch,13.0,3.5,False
INT007913,CUST009968,2023-06-02,Chat,Branch,49.1,3.8,False
INT007914,CUST016208,2024-12-09,Branch Visit,Branch,5.4,2.9,False
INT007915,CUST008251,2024-12-30,Email Inquiry,Chat,2.1,4.1,False
INT007916,CUST002991,2024-03-06,Complaint,Branch,5.9,4.6,False
INT007917,CUST010309,2024-09-23,Email Inquiry,Mobile App,8.5,4.4,False
INT007918,CUST006016,2024-03-19,Support Call,Email,9.9,5.0,False
INT007919,CUST006354,2023-12-04,Complaint,Branch,13.8,5.0,False
INT007920,CUST002877,2024-07-07,Support Call,Chat,20.7,3.7,False
INT007921,CUST007582,2024-03-02,Email Inquiry,Chat,5.5,4.8,False
INT007922,CUST003711,2023-02-08,Support Call,Phone,8.9,5.0,False
INT007923,CUST016365,2024-02-05,Support Call,Email,11.2,4.8,False
INT007924,CUST011376,2024-01-21,Branch Visit,Email,12.8,4.4,False
INT007925,CUST014873,2024-07-18,Support Call,Mobile App,25.6,3.5,False
INT007926,CUST004088,2024-02-26,Complaint,Chat,9.1,4.0,False
INT007927,CUST011813,2023-08-19,Support Call,Chat,3.7,3.6,False
INT007928,CUST003415,2023-08-06,Chat,Chat,10.4,3.2,False
INT007929,CUST016900,2023-03-07,Chat,Chat,18.4,3.4,True
INT007930,CUST014711,2023-07-29,Support Call,Mobile App,24.1,4.7,False
INT007931,CUST003992,2023-12-12,Chat,Phone,26.5,3.8,True
INT007932,CUST002243,2024-05-07,Complaint,Phone,16.4,3.9,False
INT007933,CUST004199,2024-10-30,Chat,Chat,13.8,5.0,False
INT007934,CUST016475,2024-03-11,Complaint,Chat,22.0,3.7,False
INT007935,CUST009488,2023-06-23,Branch Visit,Branch,1.5,4.5,False
INT007936,CUST007312,2024-06-13,Chat,Phone,14.4,4.0,False
INT007937,CUST005455,2024-06-06,Chat,Email,8.7,2.7,False
INT007938,CUST007289,2024-09-06,Support Call,Chat,19.5,4.7,False
INT007939,CUST011925,2023-08-20,Support Call,Chat,9.9,4.7,True
INT007940,CUST014057,2024-11-18,Branch Visit,Email,9.7,3.6,False
INT007941,CUST000599,2024-08-11,Support Call,Phone,7.1,3.1,False
INT007942,CUST008505,2024-11-09,Support Call,Chat,2.2,2.1,True
INT007943,CUST018189,2023-06-27,Support Call,Branch,20.9,3.6,False
INT007944,CUST018935,2024-09-02,Branch Visit,Branch,12.6,4.8,False
INT007945,CUST009393,2024-03-16,Support Call,Phone,11.7,3.6,False
INT007946,CUST003769,2024-12-18,Chat,Mobile App,13.8,3.6,True
INT007947,CUST002317,2023-02-03,Support Call,Phone,2.6,5.0,True
INT007948,CUST011193,2023-09-14,Support Call,Mobile App,43.1,4.0,False
INT007949,CUST011019,2024-09-28,Branch Visit,Phone,14.4,4.8,False
INT007950,CUST008024,2023-09-19,Branch Visit,Mobile App,20.4,5.0,False
INT007951,CUST014951,2024-10-18,Support Call,Chat,12.9,3.6,False
INT007952,CUST012650,2023-09-29,Chat,Phone,12.6,2.9,False
INT007953,CUST001226,2023-04-20,Branch Visit,Chat,16.5,2.9,False
