credit_event_id,loan_id,customer_id,event_date,event_type,outstanding_at_event,risk_bucket
CE00306,LN002845,CUST003630,2024-11-13,Delinquency Notice - 30 Days,2899.3,Critical
CE00307,LN002863,CUST003646,2024-08-01,Delinquency Notice - 30 Days,1071.92,Low
CE00308,LN002871,CUST003656,2024-10-28,Delinquency Notice - 30 Days,1869.2,Moderate
CE00309,LN002877,CUST003662,2024-11-13,Delinquency Notice - 30 Days,4324.28,Moderate
CE00310,LN002890,CUST003680,2024-10-12,Delinquency Notice - 30 Days,185.19,Elevated
CE00311,LN002893,CUST003681,2024-10-24,Delinquency Notice - 30 Days,1196.41,Elevated
CE00312,LN002916,CUST003702,2024-12-19,Delinquency Notice - 30 Days,5154.64,Low
CE00313,LN002917,CUST003703,2024-09-15,Delinquency Notice - 30 Days,631.99,High
CE00314,LN002926,CUST003711,2024-09-10,Delinquency Notice - 30 Days,2681.54,Elevated
CE00315,LN002929,CUST003714,2024-09-07,Delinquency Notice - 30 Days,2596.77,High
CE00316,LN002931,CUST003719,2024-08-27,Default / Write-off Review,3211.65,Elevated
CE00317,LN002932,CUST003721,2024-08-03,Delinquency Notice - 30 Days,3017.63,Moderate
CE00318,LN002933,CUST003724,2024-11-14,Delinquency Notice - 30 Days,551.04,Low
CE00319,LN002944,CUST003733,2024-11-20,Delinquency Notice - 60 Days,10106.9,Elevated
CE00320,LN002946,CUST003734,2024-12-14,Delinquency Notice - 30 Days,67223.75,Moderate
CE00321,LN002950,CUST003738,2024-09-16,Delinquency Notice - 30 Days,9326.29,Moderate
CE00322,LN002972,CUST003768,2024-08-10,Delinquency Notice - 30 Days,7793.59,Moderate
CE00323,LN002973,CUST003768,2024-10-11,Default / Write-off Review,1692.64,Moderate
CE00324,LN002978,CUST003772,2024-10-22,Delinquency Notice - 30 Days,12483.29,High
CE00325,LN002981,CUST003775,2024-06-23,Delinquency Notice - 30 Days,1757.76,Critical
CE00326,LN003002,CUST003804,2024-07-01,Delinquency Notice - 60 Days,1914.97,Low
CE00327,LN003027,CUST003837,2024-11-05,Delinquency Notice - 30 Days,9904.32,Elevated
CE00328,LN003030,CUST003844,2024-06-24,Delinquency Notice - 30 Days,3277.2,Critical
CE00329,LN003039,CUST003856,2024-09-03,Delinquency Notice - 30 Days,2275.99,High
CE00330,LN003049,CUST003867,2024-08-18,Delinquency Notice - 30 Days,5979.88,Low
CE00331,LN003068,CUST003888,2024-08-31,Default / Write-off Review,8836.45,Elevated
CE00332,LN003073,CUST003893,2024-08-20,Default / Write-off Review,29335.74,Moderate
CE00333,LN003077,CUST003897,2024-07-01,Delinquency Notice - 60 Days,3287.39,High
CE00334,LN003091,CUST003914,2024-07-23,Delinquency Notice - 30 Days,680.4,Low
CE00335,LN003100,CUST003931,2024-06-10,Delinquency Notice - 30 Days,14730.88,High
CE00336,LN003102,CUST003933,2024-08-14,Delinquency Notice - 30 Days,1910.0,Elevated
CE00337,LN003121,CUST003959,2024-10-07,Delinquency Notice - 30 Days,12958.89,Low
CE00338,LN003123,CUST003960,2024-08-20,Default / Write-off Review,1144.48,High
CE00339,LN003126,CUST003966,2024-11-27,Delinquency Notice - 30 Days,564.66,Low
CE00340,LN003132,CUST003972,2024-12-16,Default / Write-off Review,18071.67,Low
CE00341,LN003134,CUST003973,2024-10-30,Default / Write-off Review,1087.98,Critical
CE00342,LN003136,CUST003973,2024-10-30,Delinquency Notice - 60 Days,2915.1,Critical
CE00343,LN003147,CUST003986,2024-09-01,Delinquency Notice - 30 Days,35347.81,Elevated
CE00344,LN003153,CUST003994,2024-12-16,Delinquency Notice - 60 Days,40220.96,Elevated
CE00345,LN003167,CUST004007,2024-07-08,Delinquency Notice - 60 Days,494.75,Low
CE00346,LN003168,CUST004010,2024-07-01,Delinquency Notice - 60 Days,1846.28,Elevated
CE00347,LN003191,CUST004042,2024-06-22,Delinquency Notice - 30 Days,2065.9,Moderate
CE00348,LN003201,CUST004055,2024-11-07,Delinquency Notice - 30 Days,3388.27,Moderate
CE00349,LN003203,CUST004059,2024-09-02,Delinquency Notice - 30 Days,24180.96,Moderate
CE00350,LN003207,CUST004066,2024-07-25,Delinquency Notice - 30 Days,23764.72,Moderate
CE00351,LN003210,CUST004068,2024-07-13,Delinquency Notice - 30 Days,3132.27,Elevated
CE00352,LN003217,CUST004076,2024-11-09,Delinquency Notice - 30 Days,12743.48,Elevated
CE00353,LN003220,CUST004081,2024-10-24,Default / Write-off Review,3268.89,Moderate
CE00354,LN003229,CUST004088,2024-08-03,Default / Write-off Review,9062.66,Moderate
CE00355,LN003244,CUST004106,2024-12-05,Delinquency Notice - 30 Days,8968.62,Moderate
CE00356,LN003253,CUST004119,2024-06-23,Delinquency Notice - 60 Days,3995.7,Moderate
CE00357,LN003255,CUST004122,2024-07-23,Delinquency Notice - 60 Days,6043.29,Moderate
CE00358,LN003270,CUST004143,2024-06-18,Delinquency Notice - 30 Days,3419.96,Elevated
CE00359,LN003275,CUST004146,2024-08-24,Delinquency Notice - 30 Days,5230.26,Moderate
CE00360,LN003279,CUST004152,2024-12-22,Delinquency Notice - 30 Days,1730.35,Critical
CE00361,LN003326,CUST004211,2024-06-17,Delinquency Notice - 60 Days,9269.25,Elevated
CE00362,LN003337,CUST004226,2024-08-26,Delinquency Notice - 30 Days,856.13,Moderate
CE00363,LN003345,CUST004240,2024-12-22,Delinquency Notice - 30 Days,1032.52,Elevated
CE00364,LN003369,CUST004262,2024-09-18,Delinquency Notice - 60 Days,18403.14,Moderate
CE00365,LN003372,CUST004265,2024-06-07,Delinquency Notice - 30 Days,11787.72,Elevated
CE00366,LN003374,CUST004268,2024-08-21,Delinquency Notice - 30 Days,5267.39,High
CE00367,LN003385,CUST004287,2024-08-17,Default / Write-off Review,7189.13,Elevated
CE00368,LN003390,CUST004291,2024-10-21,Delinquency Notice - 60 Days,7443.52,High
CE00369,LN003395,CUST004295,2024-07-05,Default / Write-off Review,7006.56,High
CE00370,LN003405,CUST004308,2024-11-02,Delinquency Notice - 60 Days,5713.89,Critical
CE00371,LN003407,CUST004309,2024-09-19,Delinquency Notice - 30 Days,1136.98,Low
CE00372,LN003411,CUST004313,2024-09-16,Delinquency Notice - 60 Days,720.2,Critical
CE00373,LN003422,CUST004326,2024-09-05,Delinquency Notice - 60 Days,22236.18,Low
CE00374,LN003424,CUST004332,2024-09-28,Delinquency Notice - 30 Days,2736.02,High
CE00375,LN003426,CUST004336,2024-07-25,Delinquency Notice - 30 Days,1359.47,Moderate
CE00376,LN003440,CUST004352,2024-10-27,Delinquency Notice - 30 Days,1129.85,High
CE00377,LN003458,CUST004373,2024-08-03,Default / Write-off Review,3855.21,Low
CE00378,LN003488,CUST004411,2024-11-28,Delinquency Notice - 30 Days,271.88,Low
CE00379,LN003512,CUST004441,2024-12-09,Delinquency Notice - 30 Days,24373.47,Moderate
CE00380,LN003524,CUST004464,2024-07-11,Delinquency Notice - 30 Days,6287.36,Critical
CE00381,LN003543,CUST004487,2024-09-17,Delinquency Notice - 30 Days,6619.81,Moderate
CE00382,LN003547,CUST004493,2024-09-11,Default / Write-off Review,10933.3,Elevated
CE00383,LN003552,CUST004499,2024-07-20,Default / Write-off Review,6029.58,Elevated
CE00384,LN003555,CUST004502,2024-12-27,Delinquency Notice - 30 Days,25522.7,High
CE00385,LN003557,CUST004504,2024-12-15,Delinquency Notice - 30 Days,4684.72,Low
CE00386,LN003576,CUST004525,2024-12-03,Default / Write-off Review,6180.77,Moderate
CE00387,LN003577,CUST004525,2024-08-07,Delinquency Notice - 60 Days,1178.8,Moderate
CE00388,LN003584,CUST004541,2024-10-28,Delinquency Notice - 30 Days,11095.22,Moderate
CE00389,LN003589,CUST004548,2024-12-12,Delinquency Notice - 60 Days,32086.37,Moderate
CE00390,LN003590,CUST004549,2024-06-09,Default / Write-off Review,2584.67,Moderate
CE00391,LN003619,CUST004581,2024-10-04,Delinquency Notice - 60 Days,4886.89,High
CE00392,LN003622,CUST004586,2024-11-09,Delinquency Notice - 60 Days,1845.81,Low
CE00393,LN003630,CUST004593,2024-08-18,Delinquency Notice - 30 Days,11455.08,Moderate
CE00394,LN003658,CUST004633,2024-10-10,Delinquency Notice - 30 Days,18436.22,Elevated
CE00395,LN003669,CUST004647,2024-11-06,Delinquency Notice - 30 Days,2240.15,High
CE00396,LN003670,CUST004650,2024-08-04,Delinquency Notice - 60 Days,3674.86,Elevated
CE00397,LN003686,CUST004669,2024-12-21,Delinquency Notice - 30 Days,3816.58,Moderate
CE00398,LN003690,CUST004673,2024-08-11,Default / Write-off Review,4363.44,Moderate
CE00399,LN003695,CUST004676,2024-08-17,Delinquency Notice - 60 Days,4570.09,Moderate
CE00400,LN003703,CUST004683,2024-06-25,Delinquency Notice - 60 Days,4984.17,Low
CE00401,LN003709,CUST004689,2024-09-15,Delinquency Notice - 60 Days,293.04,Critical
CE00402,LN003710,CUST004691,2024-06-02,Default / Write-off Review,5694.96,Low
CE00403,LN003711,CUST004692,2024-07-02,Default / Write-off Review,3829.64,Critical
CE00404,LN003714,CUST004696,2024-06-21,Default / Write-off Review,4438.98,Low
CE00405,LN003734,CUST004714,2024-08-14,Delinquency Notice - 30 Days,4987.4,Elevated
CE00406,LN003742,CUST004723,2024-07-08,Delinquency Notice - 30 Days,250.68,Critical
CE00407,LN003743,CUST004725,2024-11-25,Delinquency Notice - 60 Days,1511.28,Critical
CE00408,LN003759,CUST004744,2024-10-06,Delinquency Notice - 30 Days,760.78,Moderate
CE00409,LN003760,CUST004746,2024-07-19,Delinquency Notice - 30 Days,12045.89,Elevated
CE00410,LN003762,CUST004746,2024-06-24,Default / Write-off Review,5515.21,Elevated
CE00411,LN003765,CUST004749,2024-10-24,Delinquency Notice - 30 Days,501.86,Moderate
CE00412,LN003777,CUST004773,2024-12-23,Delinquency Notice - 60 Days,15931.67,Elevated
CE00413,LN003784,CUST004782,2024-10-27,Delinquency Notice - 60 Days,8124.04,Elevated
CE00414,LN003787,CUST004786,2024-12-25,Delinquency Notice - 60 Days,438.98,Low
CE00415,LN003801,CUST004799,2024-11-17,Delinquency Notice - 60 Days,11717.85,Low
CE00416,LN003818,CUST004820,2024-12-21,Delinquency Notice - 30 Days,6362.05,Low
CE00417,LN003836,CUST004847,2024-12-01,Delinquency Notice - 60 Days,24671.1,Moderate
CE00418,LN003838,CUST004854,2024-09-12,Delinquency Notice - 60 Days,19888.94,Moderate
CE00419,LN003840,CUST004855,2024-10-09,Delinquency Notice - 30 Days,3089.29,Critical
CE00420,LN003845,CUST004859,2024-10-03,Default / Write-off Review,21309.62,Low
CE00421,LN003854,CUST004871,2024-07-06,Default / Write-off Review,2538.43,High
CE00422,LN003861,CUST004876,2024-10-22,Delinquency Notice - 30 Days,8850.58,Moderate
CE00423,LN003862,CUST004876,2024-09-19,Delinquency Notice - 30 Days,1294.98,Moderate
CE00424,LN003877,CUST004901,2024-09-07,Delinquency Notice - 60 Days,4372.93,Moderate
CE00425,LN003888,CUST004913,2024-08-02,Delinquency Notice - 30 Days,1807.97,Moderate
CE00426,LN003889,CUST004914,2024-09-30,Default / Write-off Review,25227.86,Moderate
CE00427,LN003892,CUST004917,2024-12-08,Default / Write-off Review,4363.46,Low
CE00428,LN003894,CUST004919,2024-11-28,Delinquency Notice - 60 Days,7133.97,Low
CE00429,LN003898,CUST004923,2024-10-25,Default / Write-off Review,8056.02,Elevated
CE00430,LN003903,CUST004931,2024-10-24,Delinquency Notice - 60 Days,1320.09,Low
CE00431,LN003919,CUST004950,2024-07-29,Delinquency Notice - 60 Days,4528.29,Elevated
CE00432,LN003933,CUST004976,2024-11-02,Default / Write-off Review,4508.17,Low
CE00433,LN003939,CUST004983,2024-11-12,Delinquency Notice - 30 Days,6713.06,Elevated
CE00434,LN003956,CUST005013,2024-11-27,Delinquency Notice - 30 Days,3566.81,Elevated
CE00435,LN003959,CUST005020,2024-11-17,Delinquency Notice - 30 Days,1149.48,High
CE00436,LN003972,CUST005035,2024-10-17,Delinquency Notice - 30 Days,3185.53,Critical
CE00437,LN003976,CUST005046,2024-09-01,Delinquency Notice - 30 Days,1813.85,Moderate
CE00438,LN003978,CUST005048,2024-06-20,Delinquency Notice - 30 Days,703.8,High
CE00439,LN003983,CUST005053,2024-06-29,Delinquency Notice - 60 Days,12641.23,High
CE00440,LN003991,CUST005058,2024-11-04,Default / Write-off Review,3105.79,High
CE00441,LN004013,CUST005084,2024-09-25,Delinquency Notice - 60 Days,5256.91,Elevated
CE00442,LN004014,CUST005085,2024-08-08,Delinquency Notice - 60 Days,2418.58,Low
CE00443,LN004019,CUST005087,2024-12-26,Delinquency Notice - 60 Days,8265.96,Low
CE00444,LN004027,CUST005096,2024-07-04,Delinquency Notice - 30 Days,7961.73,Moderate
CE00445,LN004039,CUST005121,2024-10-01,Delinquency Notice - 30 Days,2366.86,High
CE00446,LN004040,CUST005121,2024-10-19,Delinquency Notice - 30 Days,589.98,High
CE00447,LN004046,CUST005125,2024-08-26,Default / Write-off Review,780.44,Moderate
CE00448,LN004069,CUST005155,2024-09-14,Delinquency Notice - 30 Days,4030.0,Low
CE00449,LN004073,CUST005157,2024-10-25,Delinquency Notice - 60 Days,7336.05,Moderate
CE00450,LN004076,CUST005161,2024-06-15,Default / Write-off Review,2878.49,Elevated
CE00451,LN004077,CUST005161,2024-07-08,Default / Write-off Review,2185.38,Elevated
CE00452,LN004082,CUST005166,2024-07-09,Default / Write-off Review,13443.37,Moderate
CE00453,LN004084,CUST005167,2024-08-17,Delinquency Notice - 60 Days,10505.38,Moderate
CE00454,LN004116,CUST005197,2024-11-04,Delinquency Notice - 60 Days,9204.09,Moderate
CE00455,LN004117,CUST005199,2024-08-22,Delinquency Notice - 30 Days,786.04,Low
CE00456,LN004120,CUST005202,2024-07-11,Delinquency Notice - 60 Days,16673.77,Critical
CE00457,LN004122,CUST005205,2024-06-24,Default / Write-off Review,2774.42,Moderate
CE00458,LN004125,CUST005208,2024-06-06,Default / Write-off Review,6700.55,Low
CE00459,LN004132,CUST005222,2024-08-08,Delinquency Notice - 30 Days,451.86,Elevated
CE00460,LN004150,CUST005247,2024-07-06,Default / Write-off Review,1089.89,Low
CE00461,LN004155,CUST005253,2024-11-25,Default / Write-off Review,555.72,Moderate
CE00462,LN004158,CUST005254,2024-12-09,Delinquency Notice - 30 Days,6887.18,Elevated
CE00463,LN004164,CUST005264,2024-09-12,Delinquency Notice - 30 Days,5115.43,Critical
CE00464,LN004166,CUST005266,2024-06-14,Default / Write-off Review,6366.53,Elevated
CE00465,LN004197,CUST005304,2024-11-02,Default / Write-off Review,2210.85,Critical
CE00466,LN004227,CUST005330,2024-06-01,Delinquency Notice - 60 Days,296.46,Low
CE00467,LN004233,CUST005338,2024-08-01,Default / Write-off Review,4942.63,Moderate
CE00468,LN004234,CUST005338,2024-11-20,Delinquency Notice - 60 Days,1648.41,Moderate
CE00469,LN004238,CUST005344,2024-09-18,Delinquency Notice - 60 Days,693.42,Elevated
CE00470,LN004244,CUST005353,2024-06-30,Delinquency Notice - 30 Days,5560.15,Low
CE00471,LN004255,CUST005361,2024-08-22,Delinquency Notice - 30 Days,3212.2,Moderate
CE00472,LN004258,CUST005369,2024-06-20,Delinquency Notice - 60 Days,360.31,Moderate
CE00473,LN004267,CUST005383,2024-07-08,Delinquency Notice - 60 Days,2349.56,Low
CE00474,LN004284,CUST005400,2024-06-16,Delinquency Notice - 60 Days,16501.71,Elevated
CE00475,LN004286,CUST005402,2024-06-20,Delinquency Notice - 30 Days,8346.5,Critical
CE00476,LN004292,CUST005412,2024-12-25,Delinquency Notice - 30 Days,307.08,Elevated
CE00477,LN004293,CUST005414,2024-11-20,Delinquency Notice - 60 Days,20248.68,High
CE00478,LN004312,CUST005437,2024-11-20,Delinquency Notice - 30 Days,8307.92,Moderate
CE00479,LN004314,CUST005440,2024-10-12,Delinquency Notice - 30 Days,53607.53,Moderate
CE00480,LN004328,CUST005469,2024-12-26,Delinquency Notice - 30 Days,6043.97,Low
CE00481,LN004337,CUST005479,2024-11-16,Default / Write-off Review,762.43,Moderate
CE00482,LN004346,CUST005487,2024-08-09,Delinquency Notice - 30 Days,3726.59,Critical
CE00483,LN004358,CUST005504,2024-08-26,Default / Write-off Review,16811.29,Moderate
CE00484,LN004370,CUST005517,2024-08-15,Delinquency Notice - 60 Days,772.79,Low
CE00485,LN004373,CUST005520,2024-12-06,Delinquency Notice - 30 Days,5865.12,Moderate
CE00486,LN004380,CUST005527,2024-09-14,Delinquency Notice - 30 Days,737.69,Elevated
CE00487,LN004390,CUST005539,2024-06-19,Delinquency Notice - 30 Days,7024.24,Elevated
CE00488,LN004391,CUST005540,2024-11-26,Delinquency Notice - 30 Days,261.11,Elevated
CE00489,LN004405,CUST005557,2024-12-14,Delinquency Notice - 60 Days,3842.1,Elevated
CE00490,LN004407,CUST005561,2024-06-02,Delinquency Notice - 30 Days,3583.6,Moderate
CE00491,LN004413,CUST005567,2024-06-12,Delinquency Notice - 60 Days,11959.32,Elevated
CE00492,LN004417,CUST005571,2024-10-26,Delinquency Notice - 30 Days,1983.83,Elevated
CE00493,LN004420,CUST005578,2024-08-15,Delinquency Notice - 30 Days,855.8,Elevated
CE00494,LN004424,CUST005581,2024-06-14,Default / Write-off Review,7355.39,Low
CE00495,LN004428,CUST005586,2024-11-28,Default / Write-off Review,741.72,High
CE00496,LN004433,CUST005589,2024-08-04,Delinquency Notice - 30 Days,1462.89,Moderate
CE00497,LN004442,CUST005599,2024-07-12,Delinquency Notice - 60 Days,1774.26,Critical
CE00498,LN004448,CUST005610,2024-06-29,Default / Write-off Review,4083.38,Low
CE00499,LN004463,CUST005634,2024-09-19,Delinquency Notice - 60 Days,558.82,Moderate
CE00500,LN004475,CUST005649,2024-10-10,Delinquency Notice - 30 Days,890.47,Moderate
CE00501,LN004484,CUST005656,2024-07-05,Delinquency Notice - 30 Days,1163.98,Low
CE00502,LN004505,CUST005686,2024-09-21,Default / Write-off Review,1431.22,Elevated
CE00503,LN004506,CUST005687,2024-06-13,Delinquency Notice - 60 Days,3982.46,High
CE00504,LN004545,CUST005739,2024-07-13,Delinquency Notice - 60 Days,2257.14,Elevated
CE00505,LN004557,CUST005752,2024-07-22,Delinquency Notice - 30 Days,9851.42,Elevated
CE00506,LN004564,CUST005762,2024-10-13,Delinquency Notice - 60 Days,13834.17,Moderate
CE00507,LN004577,CUST005775,2024-09-29,Delinquency Notice - 30 Days,4801.77,Critical
CE00508,LN004578,CUST005775,2024-08-29,Delinquency Notice - 30 Days,24059.09,Critical
CE00509,LN004615,CUST005811,2024-08-01,Default / Write-off Review,12631.01,High
CE00510,LN004625,CUST005828,2024-12-07,Delinquency Notice - 30 Days,1481.57,Low
CE00511,LN004635,CUST005843,2024-12-11,Delinquency Notice - 60 Days,349.18,Low
CE00512,LN004637,CUST005849,2024-12-07,Default / Write-off Review,4602.75,Low
CE00513,LN004668,CUST005906,2024-07-29,Delinquency Notice - 30 Days,3752.13,Low
CE00514,LN004674,CUST005911,2024-11-20,Delinquency Notice - 30 Days,3192.09,Low
CE00515,LN004680,CUST005922,2024-12-22,Delinquency Notice - 60 Days,6579.69,Moderate
CE00516,LN004684,CUST005931,2024-11-18,Default / Write-off Review,276.3,Critical
CE00517,LN004705,CUST005948,2024-06-27,Delinquency Notice - 30 Days,4689.78,Low
CE00518,LN004712,CUST005963,2024-11-29,Delinquency Notice - 30 Days,8905.11,Moderate
CE00519,LN004723,CUST005981,2024-10-27,Delinquency Notice - 30 Days,36536.34,Moderate
CE00520,LN004743,CUST006004,2024-10-11,Delinquency Notice - 60 Days,4816.6,Moderate
CE00521,LN004745,CUST006007,2024-06-13,Default / Write-off Review,1011.34,Low
CE00522,LN004752,CUST006017,2024-09-19,Default / Write-off Review,7001.74,Low
CE00523,LN004755,CUST006022,2024-12-02,Delinquency Notice - 60 Days,11432.53,Low
CE00524,LN004759,CUST006031,2024-11-16,Delinquency Notice - 30 Days,9675.87,Elevated
CE00525,LN004762,CUST006031,2024-10-14,Default / Write-off Review,36057.46,Elevated
CE00526,LN004764,CUST006032,2024-11-19,Default / Write-off Review,1350.62,Elevated
CE00527,LN004767,CUST006035,2024-10-14,Delinquency Notice - 30 Days,7450.54,Moderate
CE00528,LN004790,CUST006061,2024-09-15,Delinquency Notice - 30 Days,6013.49,Low
CE00529,LN004830,CUST006107,2024-07-15,Delinquency Notice - 60 Days,2894.5,Elevated
CE00530,LN004837,CUST006113,2024-06-04,Delinquency Notice - 60 Days,6414.44,Elevated
CE00531,LN004850,CUST006128,2024-09-16,Default / Write-off Review,4767.95,Moderate
CE00532,LN004857,CUST006139,2024-12-09,Delinquency Notice - 30 Days,2234.06,Moderate
CE00533,LN004862,CUST006146,2024-11-08,Default / Write-off Review,496.34,High
CE00534,LN004865,CUST006149,2024-06-10,Delinquency Notice - 30 Days,9691.62,Moderate
CE00535,LN004867,CUST006155,2024-11-22,Delinquency Notice - 30 Days,1325.54,Elevated
CE00536,LN004883,CUST006171,2024-08-03,Delinquency Notice - 30 Days,38073.04,Elevated
CE00537,LN004891,CUST006179,2024-08-27,Delinquency Notice - 30 Days,2328.03,Critical
CE00538,LN004892,CUST006180,2024-09-09,Delinquency Notice - 30 Days,4609.69,Low
CE00539,LN004893,CUST006181,2024-07-15,Delinquency Notice - 30 Days,608.11,Moderate
CE00540,LN004908,CUST006198,2024-06-01,Delinquency Notice - 30 Days,4310.18,Moderate
CE00541,LN004912,CUST006210,2024-09-08,Delinquency Notice - 30 Days,343.08,Elevated
CE00542,LN004928,CUST006232,2024-07-23,Delinquency Notice - 60 Days,5667.35,Elevated
CE00543,LN004932,CUST006236,2024-06-23,Delinquency Notice - 30 Days,10820.2,Elevated
CE00544,LN004933,CUST006242,2024-07-26,Default / Write-off Review,1201.19,Critical
CE00545,LN004940,CUST006251,2024-12-06,Delinquency Notice - 30 Days,464.73,Elevated
CE00546,LN004942,CUST006253,2024-07-19,Default / Write-off Review,46043.62,Moderate
CE00547,LN004954,CUST006271,2024-09-20,Delinquency Notice - 30 Days,3181.03,Moderate
CE00548,LN004956,CUST006273,2024-08-05,Delinquency Notice - 30 Days,1526.97,Elevated
CE00549,LN004972,CUST006290,2024-06-26,Delinquency Notice - 30 Days,2279.22,High
CE00550,LN005016,CUST006346,2024-09-01,Default / Write-off Review,1314.01,High
CE00551,LN005023,CUST006353,2024-08-18,Delinquency Notice - 60 Days,737.18,Low
CE00552,LN005068,CUST006418,2024-06-21,Delinquency Notice - 60 Days,4892.6,Elevated
CE00553,LN005077,CUST006431,2024-10-11,Delinquency Notice - 60 Days,159.44,Critical
CE00554,LN005079,CUST006433,2024-12-18,Delinquency Notice - 30 Days,37051.23,High
CE00555,LN005083,CUST006444,2024-08-21,Default / Write-off Review,1220.26,Low
CE00556,LN005085,CUST006445,2024-06-27,Delinquency Notice - 30 Days,2667.81,Moderate
CE00557,LN005102,CUST006472,2024-09-09,Default / Write-off Review,6103.1,Moderate
CE00558,LN005103,CUST006473,2024-10-28,Delinquency Notice - 30 Days,16312.12,High
CE00559,LN005110,CUST006481,2024-08-23,Delinquency Notice - 30 Days,13809.68,Elevated
CE00560,LN005117,CUST006487,2024-12-12,Delinquency Notice - 30 Days,3504.67,Moderate
CE00561,LN005119,CUST006491,2024-12-15,Delinquency Notice - 60 Days,21416.4,High
CE00562,LN005122,CUST006495,2024-12-06,Default / Write-off Review,5523.95,Low
CE00563,LN005132,CUST006502,2024-06-12,Default / Write-off Review,52696.36,High
CE00564,LN005134,CUST006504,2024-08-18,Default / Write-off Review,1779.8,Moderate
CE00565,LN005142,CUST006512,2024-10-06,Default / Write-off Review,2901.28,Elevated
CE00566,LN005147,CUST006515,2024-06-13,Delinquency Notice - 30 Days,1031.63,Elevated
CE00567,LN005168,CUST006548,2024-06-04,Delinquency Notice - 30 Days,5864.0,Low
CE00568,LN005178,CUST006554,2024-09-23,Delinquency Notice - 30 Days,500.08,Low
CE00569,LN005190,CUST006570,2024-06-03,Delinquency Notice - 60 Days,2682.64,Low
CE00570,LN005197,CUST006578,2024-11-03,Delinquency Notice - 30 Days,2481.4,Moderate
CE00571,LN005205,CUST006592,2024-06-29,Delinquency Notice - 30 Days,2096.73,Critical
CE00572,LN005206,CUST006592,2024-11-22,Default / Write-off Review,1028.72,Critical
CE00573,LN005213,CUST006602,2024-07-09,Delinquency Notice - 30 Days,849.92,Critical
CE00574,LN005234,CUST006633,2024-07-10,Delinquency Notice - 30 Days,8539.86,Elevated
CE00575,LN005244,CUST006643,2024-08-11,Delinquency Notice - 60 Days,2082.15,Elevated
CE00576,LN005245,CUST006644,2024-11-08,Delinquency Notice - 30 Days,1714.94,High
CE00577,LN005247,CUST006646,2024-07-25,Delinquency Notice - 60 Days,10452.52,Moderate
CE00578,LN005255,CUST006649,2024-09-02,Default / Write-off Review,4094.61,Elevated
CE00579,LN005258,CUST006653,2024-11-29,Delinquency Notice - 30 Days,575.09,Elevated
CE00580,LN005270,CUST006670,2024-07-19,Delinquency Notice - 30 Days,10088.58,Elevated
CE00581,LN005274,CUST006672,2024-12-09,Delinquency Notice - 30 Days,18013.65,Low
CE00582,LN005277,CUST006677,2024-10-31,Delinquency Notice - 30 Days,1765.99,Elevated
CE00583,LN005290,CUST006696,2024-11-25,Default / Write-off Review,1348.79,Moderate
CE00584,LN005291,CUST006697,2024-10-05,Delinquency Notice - 60 Days,20092.61,Moderate
CE00585,LN005302,CUST006712,2024-08-29,Delinquency Notice - 30 Days,10067.15,Low
CE00586,LN005304,CUST006713,2024-08-20,Delinquency Notice - 30 Days,6100.69,Elevated
CE00587,LN005311,CUST006720,2024-08-05,Delinquency Notice - 30 Days,2291.14,Low
CE00588,LN005313,CUST006723,2024-06-05,Delinquency Notice - 60 Days,2425.88,Elevated
CE00589,LN005314,CUST006729,2024-10-10,Delinquency Notice - 30 Days,3038.46,Low
CE00590,LN005320,CUST006739,2024-07-18,Delinquency Notice - 60 Days,469.64,Moderate
CE00591,LN005325,CUST006746,2024-11-26,Delinquency Notice - 30 Days,1672.69,Low
CE00592,LN005335,CUST006757,2024-12-11,Delinquency Notice - 30 Days,1751.92,Moderate
CE00593,LN005340,CUST006761,2024-07-24,Delinquency Notice - 30 Days,527.37,Elevated
CE00594,LN005343,CUST006764,2024-08-02,Delinquency Notice - 60 Days,3630.73,Elevated
CE00595,LN005349,CUST006779,2024-11-25,Delinquency Notice - 30 Days,12956.14,High
CE00596,LN005359,CUST006788,2024-11-04,Delinquency Notice - 30 Days,946.55,Low
CE00597,LN005369,CUST006798,2024-06-08,Delinquency Notice - 60 Days,3333.39,Moderate
CE00598,LN005371,CUST006802,2024-10-30,Delinquency Notice - 60 Days,1382.2,Low
CE00599,LN005376,CUST006809,2024-10-19,Delinquency Notice - 30 Days,1111.03,Low
CE00600,LN005392,CUST006828,2024-12-07,Delinquency Notice - 30 Days,19140.06,Low
CE00601,LN005400,CUST006838,2024-11-30,Delinquency Notice - 30 Days,1152.43,Elevated
CE00602,LN005414,CUST006855,2024-10-18,Delinquency Notice - 60 Days,8066.33,Moderate
CE00603,LN005420,CUST006862,2024-11-10,Delinquency Notice - 60 Days,10212.75,Moderate
CE00604,LN005422,CUST006866,2024-08-13,Delinquency Notice - 30 Days,5303.86,Moderate
CE00605,LN005465,CUST006935,2024-08-08,Default / Write-off Review,15234.4,Elevated
CE00606,LN005467,CUST006942,2024-07-18,Default / Write-off Review,1523.05,Critical
CE00607,LN005474,CUST006956,2024-07-03,Delinquency Notice - 60 Days,3026.65,Elevated
CE00608,LN005483,CUST006964,2024-07-10,Delinquency Notice - 30 Days,878.13,Low
CE00609,LN005490,CUST006977,2024-11-12,Delinquency Notice - 30 Days,3523.8,Moderate
