fraud_id,customer_id,event_date,fraud_category,channel,amount_at_risk,loss_amount,detected_flag,false_positive_flag,region
FRD00488,CUST000115,2023-05-02,Unusual Transaction Pattern,Mobile App,640.42,67.9,True,False,Region-07
FRD00489,CUST002482,2023-06-02,Card Fraud,ATM,113.06,529.45,False,True,Region-02
FRD00490,CUST004264,2023-10-27,Account Takeover,Branch,220.47,1.66,True,False,Region-07
FRD00491,CUST016749,2024-07-29,Card Fraud,Mobile App,299.24,24.24,True,False,Region-05
FRD00492,CUST009651,2023-08-29,Suspicious Transfer,Mobile App,839.05,126.3,True,False,Region-05
FRD00493,CUST000938,2024-07-29,Account Takeover,Online Banking,2085.22,11.3,True,False,Region-08
FRD00494,CUST008998,2023-09-28,Account Takeover,Online Banking,847.88,145.0,True,False,Region-05
FRD00495,CUST012633,2024-06-07,Card Fraud,Card Network,100.69,28.79,True,False,Region-07
FRD00496,CUST012383,2023-08-15,Unusual Transaction Pattern,ATM,865.36,40.21,True,False,Region-01
FRD00497,CUST017251,2024-02-17,Suspicious Transfer,Branch,594.54,91.23,True,False,Region-05
FRD00498,CUST002171,2023-03-24,Card Fraud,Online Banking,64.88,77.33,True,False,Region-03
FRD00499,CUST016368,2024-05-15,Card Fraud,ATM,1194.14,214.14,True,False,Region-04
FRD00500,CUST007148,2023-02-12,Unusual Transaction Pattern,Card Network,297.28,57.84,True,False,Region-04
FRD00501,CUST012108,2024-08-18,ATM Fraud,ATM,220.71,662.76,False,False,Region-12
FRD00502,CUST016386,2024-10-28,Card Fraud,ATM,925.62,942.26,False,True,Region-12
FRD00503,CUST007838,2023-11-05,Unusual Transaction Pattern,Mobile App,498.75,77.92,True,False,Region-12
FRD00504,CUST001365,2023-08-16,Identity-related Anomaly,ATM,2503.59,1784.7,False,False,Region-02
FRD00505,CUST018341,2024-03-08,Account Takeover,ATM,869.55,149.71,True,False,Region-02
FRD00506,CUST009206,2024-05-19,Suspicious Transfer,ATM,474.79,55.66,True,False,Region-03
FRD00507,CUST005738,2024-12-09,Card Fraud,Branch,165.14,1009.47,False,False,Region-08
FRD00508,CUST004108,2024-02-12,ATM Fraud,Mobile App,1202.74,55.44,True,False,Region-09
FRD00509,CUST013851,2023-07-09,Suspicious Transfer,Online Banking,1060.77,439.92,False,True,Region-03
FRD00510,CUST010344,2024-09-22,Unusual Transaction Pattern,Mobile App,986.9,57.77,True,False,Region-01
FRD00511,CUST010007,2023-01-15,Suspicious Transfer,Mobile App,521.01,48.43,True,False,Region-07
FRD00512,CUST008930,2023-02-17,Card Fraud,Online Banking,397.85,220.7,True,False,Region-08
FRD00513,CUST007563,2024-06-19,Unusual Transaction Pattern,Online Banking,286.01,384.71,False,True,Region-03
FRD00514,CUST007555,2023-10-12,ATM Fraud,Branch,1211.75,4.53,True,False,Region-12
FRD00515,CUST000302,2024-06-06,Account Takeover,Card Network,325.24,54.27,True,False,Region-08
FRD00516,CUST003958,2023-10-31,Account Takeover,Mobile App,1736.23,255.85,True,False,Region-11
FRD00517,CUST001061,2024-03-04,Suspicious Transfer,Branch,979.26,29.73,True,False,Region-02
FRD00518,CUST004905,2024-05-27,Card Fraud,Card Network,229.87,53.9,True,False,Region-07
FRD00519,CUST016436,2023-01-06,Card Fraud,Card Network,663.93,11.42,True,False,Region-08
FRD00520,CUST005023,2024-06-06,Suspicious Transfer,Card Network,270.12,28.93,True,False,Region-05
FRD00521,CUST003720,2023-04-24,Unusual Transaction Pattern,Mobile App,133.59,58.38,True,False,Region-06
FRD00522,CUST004241,2024-04-05,Identity-related Anomaly,Mobile App,315.2,92.84,True,False,Region-11
FRD00523,CUST008493,2024-09-02,Identity-related Anomaly,Mobile App,128.35,255.6,True,False,Region-02
FRD00524,CUST009812,2023-07-08,Unusual Transaction Pattern,Online Banking,177.2,21.61,True,False,Region-01
FRD00525,CUST015642,2024-02-01,Identity-related Anomaly,Branch,133.98,24.62,True,False,Region-04
FRD00526,CUST000510,2023-07-20,Unusual Transaction Pattern,Branch,104.18,91.95,True,False,Region-11
FRD00527,CUST007327,2023-06-11,Suspicious Transfer,Mobile App,143.17,123.63,True,False,Region-03
FRD00528,CUST001775,2024-08-14,Suspicious Transfer,Card Network,313.35,30.11,True,False,Region-02
FRD00529,CUST006715,2024-01-30,Unusual Transaction Pattern,Online Banking,1125.06,182.13,True,False,Region-09
FRD00530,CUST016247,2024-11-11,Account Takeover,Online Banking,346.64,289.97,True,False,Region-10
FRD00531,CUST009098,2023-05-18,Card Fraud,Card Network,556.82,47.45,True,False,Region-08
FRD00532,CUST000860,2023-10-10,Card Fraud,ATM,637.99,24.85,True,False,Region-11
FRD00533,CUST018261,2023-05-18,Unusual Transaction Pattern,Card Network,379.08,24.0,True,False,Region-10
FRD00534,CUST008688,2024-07-13,Account Takeover,ATM,420.27,83.29,True,False,Region-08
FRD00535,CUST007363,2023-07-11,Suspicious Transfer,Online Banking,540.88,115.26,True,False,Region-06
FRD00536,CUST011003,2024-06-18,Suspicious Transfer,Mobile App,453.45,20.86,True,False,Region-10
FRD00537,CUST011511,2024-08-14,Identity-related Anomaly,ATM,104.47,41.64,True,False,Region-10
FRD00538,CUST019150,2024-04-30,Card Fraud,Card Network,1107.48,776.68,False,True,Region-05
FRD00539,CUST000961,2024-12-28,Card Fraud,Online Banking,183.21,70.02,True,False,Region-03
FRD00540,CUST009337,2023-01-26,Card Fraud,Online Banking,711.99,1636.93,False,False,Region-01
FRD00541,CUST009467,2024-01-10,Suspicious Transfer,ATM,189.64,1504.77,False,True,Region-02
FRD00542,CUST010987,2024-09-03,Suspicious Transfer,Card Network,1486.15,37.17,True,False,Region-07
FRD00543,CUST019807,2024-11-09,Identity-related Anomaly,Branch,304.39,127.62,True,False,Region-03
FRD00544,CUST004298,2023-08-09,Identity-related Anomaly,Mobile App,523.9,45.32,True,False,Region-05
FRD00545,CUST019725,2023-11-03,Suspicious Transfer,Mobile App,798.01,65.02,True,False,Region-07
FRD00546,CUST000444,2024-06-24,Unusual Transaction Pattern,Mobile App,68.34,162.66,True,False,Region-11
FRD00547,CUST014863,2023-11-24,Account Takeover,Online Banking,217.31,16.21,True,False,Region-05
FRD00548,CUST016493,2023-10-23,Card Fraud,Branch,958.8,0.12,True,False,Region-12
FRD00549,CUST005860,2024-06-28,Card Fraud,Mobile App,225.47,99.06,True,False,Region-10
FRD00550,CUST000144,2023-11-22,ATM Fraud,Branch,888.42,1237.59,False,True,Region-07
FRD00551,CUST009500,2023-09-25,Card Fraud,Mobile App,750.68,93.76,True,False,Region-03
FRD00552,CUST006211,2023-01-12,Suspicious Transfer,ATM,643.15,171.32,True,False,Region-04
FRD00553,CUST004789,2023-11-03,Account Takeover,ATM,38.98,146.87,True,False,Region-09
FRD00554,CUST000974,2023-06-05,Card Fraud,Mobile App,2114.01,23.63,True,False,Region-10
FRD00555,CUST014185,2023-02-25,Identity-related Anomaly,Mobile App,422.19,403.24,True,False,Region-01
FRD00556,CUST003148,2024-08-12,Identity-related Anomaly,Card Network,592.2,283.7,False,False,Region-01
FRD00557,CUST015525,2024-08-19,Card Fraud,Mobile App,366.28,367.11,False,False,Region-04
FRD00558,CUST001020,2024-06-06,Card Fraud,Online Banking,291.63,64.86,True,False,Region-04
FRD00559,CUST002138,2024-01-06,ATM Fraud,Mobile App,523.61,35.79,True,False,Region-06
FRD00560,CUST007315,2024-05-02,Account Takeover,Online Banking,1324.46,6.19,True,False,Region-02
FRD00561,CUST008978,2024-04-29,Unusual Transaction Pattern,Online Banking,734.67,93.93,True,False,Region-12
FRD00562,CUST014908,2024-11-03,Suspicious Transfer,Branch,317.86,463.86,False,False,Region-10
FRD00563,CUST009680,2023-11-10,Account Takeover,Mobile App,1055.46,1.65,True,False,Region-08
FRD00564,CUST014856,2023-11-05,Suspicious Transfer,Mobile App,1587.28,17.93,True,False,Region-11
FRD00565,CUST015178,2024-10-26,Card Fraud,Online Banking,599.17,44.34,True,False,Region-09
FRD00566,CUST001130,2023-02-01,Card Fraud,Branch,315.72,144.91,True,False,Region-01
FRD00567,CUST005186,2024-11-20,Suspicious Transfer,Online Banking,233.2,37.02,True,False,Region-09
FRD00568,CUST016857,2024-11-09,Card Fraud,ATM,1327.4,490.3,False,False,Region-09
FRD00569,CUST004711,2024-05-03,Card Fraud,ATM,380.56,28.22,True,False,Region-11
FRD00570,CUST012509,2024-06-28,Suspicious Transfer,Card Network,68.22,160.67,True,False,Region-07
FRD00571,CUST016104,2023-08-08,ATM Fraud,Branch,791.3,10.58,True,False,Region-07
FRD00572,CUST015260,2023-06-30,Identity-related Anomaly,Card Network,1004.9,254.62,False,False,Region-06
FRD00573,CUST019496,2023-08-17,ATM Fraud,Online Banking,733.67,81.0,True,False,Region-10
FRD00574,CUST013570,2023-03-29,Card Fraud,Card Network,252.83,105.38,True,False,Region-10
FRD00575,CUST018406,2023-12-30,Identity-related Anomaly,Online Banking,201.72,15.01,True,False,Region-11
FRD00576,CUST012917,2023-09-27,Suspicious Transfer,ATM,450.78,53.0,True,False,Region-04
FRD00577,CUST013673,2023-04-17,Suspicious Transfer,Online Banking,656.7,68.46,True,False,Region-11
FRD00578,CUST019843,2023-11-09,Account Takeover,ATM,1398.91,124.73,True,False,Region-10
FRD00579,CUST016451,2023-07-28,Card Fraud,Branch,1886.7,19.42,True,False,Region-10
FRD00580,CUST002178,2023-09-04,Card Fraud,Online Banking,610.5,153.89,True,False,Region-08
FRD00581,CUST016825,2024-10-05,Unusual Transaction Pattern,ATM,326.83,25.89,True,False,Region-12
FRD00582,CUST012654,2023-03-05,Suspicious Transfer,Online Banking,903.04,46.31,True,False,Region-12
FRD00583,CUST007883,2023-05-28,Suspicious Transfer,Card Network,914.22,1.21,True,False,Region-09
FRD00584,CUST017382,2023-07-05,ATM Fraud,ATM,217.33,23.98,True,False,Region-10
FRD00585,CUST019627,2024-08-02,ATM Fraud,ATM,739.5,172.21,True,False,Region-02
FRD00586,CUST015261,2023-07-01,ATM Fraud,ATM,774.12,39.62,True,False,Region-01
FRD00587,CUST003737,2023-03-02,Suspicious Transfer,Card Network,453.87,64.73,True,False,Region-06
FRD00588,CUST006330,2024-07-26,Unusual Transaction Pattern,Mobile App,338.84,63.72,True,False,Region-05
FRD00589,CUST001963,2024-10-05,Suspicious Transfer,Branch,424.94,103.5,True,False,Region-07
FRD00590,CUST013241,2024-11-30,Card Fraud,Online Banking,733.68,10.39,True,False,Region-01
FRD00591,CUST004025,2023-05-04,ATM Fraud,ATM,1242.92,29.46,True,False,Region-09
FRD00592,CUST007625,2024-10-02,Account Takeover,Online Banking,1168.25,66.94,True,False,Region-09
FRD00593,CUST001292,2024-02-10,Card Fraud,Mobile App,788.67,56.63,True,False,Region-02
FRD00594,CUST010844,2024-10-23,Account Takeover,Branch,647.59,16.29,True,False,Region-04
FRD00595,CUST001356,2024-10-05,Identity-related Anomaly,Branch,813.55,68.36,True,False,Region-04
FRD00596,CUST004196,2024-12-18,Card Fraud,Card Network,1246.4,228.07,True,False,Region-04
FRD00597,CUST006645,2023-04-27,Card Fraud,Online Banking,975.79,39.17,True,False,Region-07
FRD00598,CUST007076,2024-07-22,Card Fraud,Card Network,1322.37,71.54,True,False,Region-04
FRD00599,CUST014278,2024-06-18,Card Fraud,Mobile App,1411.65,51.52,True,False,Region-10
FRD00600,CUST018899,2023-07-14,Card Fraud,Branch,395.61,30.25,True,False,Region-05
FRD00601,CUST017666,2024-11-16,Identity-related Anomaly,Branch,553.44,34.27,True,False,Region-02
FRD00602,CUST008445,2024-11-23,Unusual Transaction Pattern,ATM,393.43,3.3,True,False,Region-10
FRD00603,CUST001261,2023-08-05,Unusual Transaction Pattern,Branch,288.62,62.21,True,False,Region-04
FRD00604,CUST003274,2023-05-22,ATM Fraud,Card Network,915.78,33.21,True,False,Region-11
FRD00605,CUST015367,2023-09-19,Suspicious Transfer,Card Network,111.57,413.6,False,True,Region-09
FRD00606,CUST004494,2024-06-06,ATM Fraud,Branch,434.22,37.59,True,False,Region-04
FRD00607,CUST005586,2024-03-25,Card Fraud,Branch,1446.1,162.81,True,False,Region-12
FRD00608,CUST013822,2023-04-02,Identity-related Anomaly,Mobile App,505.76,71.08,True,False,Region-12
FRD00609,CUST001980,2023-05-23,Suspicious Transfer,Mobile App,1130.49,45.37,True,False,Region-05
FRD00610,CUST006610,2023-12-22,Account Takeover,Online Banking,365.69,9.21,True,False,Region-07
FRD00611,CUST013077,2024-05-13,Identity-related Anomaly,Branch,1374.51,71.27,True,False,Region-05
FRD00612,CUST003215,2024-03-25,Account Takeover,Card Network,751.34,55.09,True,False,Region-09
FRD00613,CUST003391,2024-10-16,Card Fraud,ATM,618.13,8.98,True,False,Region-01
FRD00614,CUST015247,2023-09-26,Suspicious Transfer,Mobile App,479.28,13.27,True,False,Region-01
FRD00615,CUST000662,2024-04-02,Suspicious Transfer,ATM,686.42,312.07,False,False,Region-03
FRD00616,CUST019855,2023-05-20,Card Fraud,Card Network,774.1,140.08,True,False,Region-04
FRD00617,CUST012023,2023-10-22,ATM Fraud,Mobile App,391.71,1442.53,False,False,Region-12
FRD00618,CUST011577,2023-01-04,Card Fraud,Branch,1258.36,25.55,True,False,Region-03
FRD00619,CUST004464,2024-08-16,Card Fraud,Online Banking,505.89,1384.2,False,False,Region-10
FRD00620,CUST013301,2023-03-19,Identity-related Anomaly,Mobile App,203.79,51.82,True,False,Region-07
FRD00621,CUST014359,2023-02-22,Card Fraud,Branch,1234.58,84.29,True,False,Region-05
FRD00622,CUST001576,2024-05-28,Suspicious Transfer,ATM,994.39,60.01,True,False,Region-03
FRD00623,CUST001031,2024-10-22,Suspicious Transfer,Branch,330.9,87.84,True,False,Region-02
FRD00624,CUST016501,2024-12-11,Unusual Transaction Pattern,Branch,988.2,44.74,True,False,Region-07
FRD00625,CUST006725,2024-03-04,Card Fraud,ATM,531.39,98.87,True,False,Region-11
FRD00626,CUST002721,2024-02-10,Account Takeover,Branch,333.14,5.7,True,False,Region-08
FRD00627,CUST011264,2024-03-30,ATM Fraud,Mobile App,402.74,87.24,True,False,Region-05
FRD00628,CUST011302,2023-10-03,Account Takeover,Online Banking,1118.88,92.31,True,False,Region-10
FRD00629,CUST002139,2024-07-17,Unusual Transaction Pattern,Online Banking,1369.27,81.42,True,False,Region-02
FRD00630,CUST015345,2023-07-22,Card Fraud,Card Network,363.84,36.29,True,False,Region-11
FRD00631,CUST012479,2024-04-01,Suspicious Transfer,Branch,164.18,161.22,True,False,Region-01
FRD00632,CUST005280,2024-09-22,Card Fraud,Card Network,1804.67,0.1,True,False,Region-09
FRD00633,CUST007164,2023-01-03,ATM Fraud,Card Network,240.73,898.84,False,False,Region-08
FRD00634,CUST010331,2024-08-15,Card Fraud,Branch,255.63,151.8,True,False,Region-10
FRD00635,CUST002454,2024-01-22,ATM Fraud,ATM,1183.72,1397.38,False,False,Region-04
FRD00636,CUST005523,2024-11-05,Identity-related Anomaly,Branch,179.26,62.29,True,False,Region-10
FRD00637,CUST006572,2024-08-28,Identity-related Anomaly,Branch,613.12,40.47,True,False,Region-04
FRD00638,CUST017308,2024-10-13,Account Takeover,Online Banking,783.85,54.49,True,False,Region-06
FRD00639,CUST004137,2024-01-07,Unusual Transaction Pattern,Online Banking,123.21,49.81,True,False,Region-04
FRD00640,CUST010096,2023-09-18,Card Fraud,ATM,71.08,4.15,True,False,Region-12
FRD00641,CUST011118,2023-10-09,Unusual Transaction Pattern,Mobile App,361.35,5.22,True,False,Region-04
FRD00642,CUST016037,2024-11-20,Card Fraud,Mobile App,368.27,120.96,True,False,Region-03
FRD00643,CUST015363,2023-07-04,ATM Fraud,Online Banking,561.58,8.8,True,False,Region-12
FRD00644,CUST017405,2024-04-17,Suspicious Transfer,Branch,285.4,272.63,True,False,Region-01
FRD00645,CUST008939,2023-09-29,Card Fraud,ATM,371.76,101.62,True,False,Region-11
FRD00646,CUST013018,2023-05-04,Suspicious Transfer,ATM,1405.76,4.43,True,False,Region-01
FRD00647,CUST017378,2024-02-05,Unusual Transaction Pattern,Online Banking,400.91,1116.85,False,False,Region-09
FRD00648,CUST015587,2024-11-07,Unusual Transaction Pattern,Mobile App,517.37,844.05,False,True,Region-07
FRD00649,CUST004807,2024-08-30,Card Fraud,Online Banking,391.59,96.31,True,False,Region-01
FRD00650,CUST002835,2024-01-06,ATM Fraud,ATM,2458.22,18.47,True,False,Region-11
FRD00651,CUST017633,2024-07-06,Suspicious Transfer,Branch,769.49,18.86,True,False,Region-04
FRD00652,CUST015214,2024-09-28,Card Fraud,ATM,374.71,38.33,True,False,Region-05
FRD00653,CUST006762,2024-08-09,ATM Fraud,Branch,652.47,843.88,False,False,Region-07
FRD00654,CUST012374,2024-09-16,Suspicious Transfer,Mobile App,1679.36,110.34,True,False,Region-03
FRD00655,CUST018692,2023-05-31,Card Fraud,Card Network,1360.85,332.96,False,True,Region-12
FRD00656,CUST011809,2023-01-17,ATM Fraud,ATM,1204.72,13.2,True,False,Region-05
FRD00657,CUST013666,2023-11-25,Account Takeover,Online Banking,190.81,98.97,True,False,Region-02
FRD00658,CUST003504,2023-11-15,Account Takeover,Card Network,766.21,91.58,True,False,Region-09
FRD00659,CUST014589,2024-12-20,Card Fraud,Branch,579.27,66.28,True,False,Region-10
FRD00660,CUST005526,2023-11-12,Identity-related Anomaly,ATM,942.93,48.21,True,False,Region-06
FRD00661,CUST009427,2024-09-05,Card Fraud,Card Network,362.6,107.83,True,False,Region-07
FRD00662,CUST005550,2024-09-14,Card Fraud,Branch,2143.13,18.19,True,False,Region-03
FRD00663,CUST011458,2023-09-21,Card Fraud,Card Network,187.67,734.94,False,False,Region-02
FRD00664,CUST017111,2023-03-12,Card Fraud,Branch,530.31,78.4,True,False,Region-02
FRD00665,CUST007881,2023-05-12,ATM Fraud,Card Network,80.32,285.54,True,False,Region-06
FRD00666,CUST007252,2024-06-30,Suspicious Transfer,Online Banking,115.57,38.44,True,False,Region-04
FRD00667,CUST012558,2024-08-05,Identity-related Anomaly,Card Network,821.58,48.6,True,False,Region-04
FRD00668,CUST000801,2024-12-22,Suspicious Transfer,Card Network,518.06,79.95,True,False,Region-07
FRD00669,CUST001996,2024-04-13,Identity-related Anomaly,ATM,296.54,88.63,True,False,Region-12
FRD00670,CUST019795,2024-04-20,Suspicious Transfer,Card Network,269.64,18.77,True,False,Region-03
FRD00671,CUST005988,2024-06-24,Identity-related Anomaly,Mobile App,540.37,20.5,True,False,Region-07
FRD00672,CUST018491,2023-06-02,Identity-related Anomaly,Card Network,323.08,115.44,True,False,Region-03
FRD00673,CUST004758,2024-09-03,ATM Fraud,Card Network,158.82,102.92,True,False,Region-12
FRD00674,CUST019119,2024-06-18,Suspicious Transfer,Mobile App,1643.2,139.46,True,False,Region-06
FRD00675,CUST016060,2023-08-04,Unusual Transaction Pattern,Online Banking,894.03,32.26,True,False,Region-11
FRD00676,CUST015832,2023-09-13,Suspicious Transfer,ATM,149.93,2.08,True,False,Region-09
FRD00677,CUST017333,2024-08-01,Unusual Transaction Pattern,Branch,719.29,351.92,False,False,Region-04
FRD00678,CUST006256,2023-04-04,Suspicious Transfer,Online Banking,1272.1,6.86,True,False,Region-08
FRD00679,CUST005026,2024-09-17,Card Fraud,ATM,1037.61,0.25,True,False,Region-03
FRD00680,CUST011948,2023-08-21,Card Fraud,Card Network,1181.21,136.75,True,False,Region-10
FRD00681,CUST010309,2024-10-29,Card Fraud,Mobile App,1407.7,329.51,False,False,Region-11
FRD00682,CUST019733,2023-12-19,Account Takeover,Online Banking,256.12,42.44,True,False,Region-12
FRD00683,CUST008705,2023-12-05,ATM Fraud,Mobile App,755.44,303.56,False,False,Region-04
FRD00684,CUST015052,2023-06-16,Suspicious Transfer,Mobile App,379.96,175.27,True,False,Region-03
FRD00685,CUST012324,2023-02-07,ATM Fraud,ATM,295.61,675.12,False,False,Region-01
FRD00686,CUST001530,2023-06-03,Suspicious Transfer,Mobile App,594.49,30.08,True,False,Region-06
FRD00687,CUST001741,2024-06-13,Identity-related Anomaly,ATM,841.44,128.8,False,True,Region-10
FRD00688,CUST006080,2024-11-02,Account Takeover,Mobile App,144.07,60.6,True,False,Region-01
FRD00689,CUST007637,2023-08-15,Account Takeover,Card Network,361.99,113.62,True,False,Region-09
FRD00690,CUST011544,2023-06-02,Suspicious Transfer,Mobile App,663.91,3.88,True,False,Region-03
FRD00691,CUST003652,2023-07-06,Unusual Transaction Pattern,Online Banking,1273.85,229.38,False,False,Region-02
FRD00692,CUST016347,2023-01-09,Card Fraud,Online Banking,889.29,15.06,True,False,Region-09
FRD00693,CUST017071,2023-12-07,Account Takeover,Branch,101.15,808.76,False,False,Region-10
FRD00694,CUST017320,2023-07-19,Identity-related Anomaly,Online Banking,437.78,12.08,True,False,Region-11
FRD00695,CUST004713,2023-10-19,Suspicious Transfer,Online Banking,1240.13,635.95,False,True,Region-06
FRD00696,CUST014520,2023-12-25,Card Fraud,Mobile App,1680.04,24.45,True,False,Region-03
FRD00697,CUST002476,2024-11-27,ATM Fraud,Mobile App,223.29,71.99,True,False,Region-03
FRD00698,CUST019255,2024-12-03,ATM Fraud,Mobile App,345.29,12.53,True,False,Region-11
FRD00699,CUST004112,2024-02-06,Suspicious Transfer,Mobile App,167.13,80.68,True,False,Region-06
FRD00700,CUST009536,2024-01-05,Card Fraud,Card Network,611.26,19.15,True,False,Region-06
FRD00701,CUST012870,2024-10-24,Card Fraud,Branch,916.18,60.98,True,False,Region-03
FRD00702,CUST018975,2024-09-23,Card Fraud,Mobile App,268.63,793.32,False,False,Region-10
FRD00703,CUST011537,2023-01-13,Identity-related Anomaly,Mobile App,1067.94,379.58,False,False,Region-04
FRD00704,CUST012907,2024-01-12,Suspicious Transfer,Branch,537.34,14.69,True,False,Region-09
FRD00705,CUST011036,2024-04-14,Card Fraud,Online Banking,244.36,939.87,False,False,Region-11
FRD00706,CUST008018,2023-03-20,Suspicious Transfer,Mobile App,321.19,5.11,True,False,Region-10
FRD00707,CUST019475,2024-05-17,ATM Fraud,Mobile App,801.51,48.86,True,False,Region-09
FRD00708,CUST014460,2024-03-09,Suspicious Transfer,Branch,624.0,174.41,True,False,Region-07
FRD00709,CUST018757,2024-05-04,ATM Fraud,Branch,271.83,24.67,True,False,Region-07
FRD00710,CUST006325,2023-06-20,Unusual Transaction Pattern,Branch,571.26,151.27,True,False,Region-05
FRD00711,CUST014350,2024-09-27,Account Takeover,Online Banking,711.62,55.03,True,False,Region-07
FRD00712,CUST001726,2023-12-03,Suspicious Transfer,Online Banking,459.71,35.27,True,False,Region-11
FRD00713,CUST011837,2023-08-01,Unusual Transaction Pattern,Card Network,536.98,30.17,True,False,Region-01
FRD00714,CUST000867,2024-12-19,Suspicious Transfer,ATM,258.64,147.95,True,False,Region-09
FRD00715,CUST014263,2024-02-15,Card Fraud,Card Network,1090.31,40.0,True,False,Region-01
FRD00716,CUST008565,2024-01-17,Suspicious Transfer,ATM,687.7,105.66,True,False,Region-01
FRD00717,CUST003882,2024-05-06,Identity-related Anomaly,ATM,982.7,593.27,False,False,Region-09
FRD00718,CUST012108,2024-08-29,Card Fraud,Card Network,1143.32,69.42,True,False,Region-12
FRD00719,CUST002780,2023-01-19,Card Fraud,Mobile App,863.55,34.64,True,False,Region-06
FRD00720,CUST001106,2023-10-03,ATM Fraud,Card Network,527.16,38.66,True,False,Region-01
FRD00721,CUST001492,2023-08-02,Suspicious Transfer,Mobile App,728.03,44.65,True,False,Region-02
FRD00722,CUST000348,2023-08-05,Card Fraud,Branch,110.76,13.26,True,False,Region-09
FRD00723,CUST017321,2023-08-28,Suspicious Transfer,Card Network,228.75,18.39,True,False,Region-11
FRD00724,CUST015287,2024-02-13,Card Fraud,Online Banking,400.46,110.18,True,False,Region-08
FRD00725,CUST010667,2023-11-07,Account Takeover,ATM,1670.4,32.22,True,False,Region-03
FRD00726,CUST019660,2024-06-05,Suspicious Transfer,Mobile App,229.18,110.32,True,False,Region-01
FRD00727,CUST001817,2024-01-22,Account Takeover,Card Network,345.4,216.72,True,False,Region-06
FRD00728,CUST015180,2023-07-25,Card Fraud,Mobile App,906.9,71.43,True,False,Region-04
FRD00729,CUST003971,2023-07-30,Card Fraud,Mobile App,290.88,119.77,True,False,Region-10
FRD00730,CUST000163,2024-02-26,Unusual Transaction Pattern,ATM,1365.4,68.45,True,False,Region-05
FRD00731,CUST001244,2024-01-07,Account Takeover,Mobile App,1199.06,817.44,False,False,Region-09
FRD00732,CUST011853,2024-02-26,Unusual Transaction Pattern,Branch,1104.02,7.14,True,False,Region-01
FRD00733,CUST007692,2023-12-02,Card Fraud,Online Banking,876.74,107.65,True,False,Region-01
FRD00734,CUST018928,2023-10-17,ATM Fraud,Card Network,454.42,316.76,True,False,Region-06
FRD00735,CUST013487,2024-04-11,Card Fraud,Mobile App,150.98,144.79,True,False,Region-03
FRD00736,CUST007521,2023-03-07,Account Takeover,Online Banking,540.3,254.81,False,True,Region-05
FRD00737,CUST013285,2023-01-18,Unusual Transaction Pattern,Online Banking,345.07,50.28,True,False,Region-12
FRD00738,CUST008578,2023-06-25,Card Fraud,ATM,696.89,45.24,True,False,Region-01
FRD00739,CUST011474,2024-04-16,ATM Fraud,Branch,723.21,45.33,True,False,Region-05
FRD00740,CUST006789,2023-10-06,Unusual Transaction Pattern,Online Banking,288.97,38.76,True,False,Region-09
FRD00741,CUST002844,2024-12-10,Card Fraud,Card Network,693.54,26.45,True,False,Region-08
FRD00742,CUST012923,2023-02-04,Card Fraud,Mobile App,401.77,35.37,True,False,Region-06
FRD00743,CUST005772,2023-02-11,Account Takeover,Online Banking,307.96,77.72,True,False,Region-10
FRD00744,CUST001237,2024-10-16,Suspicious Transfer,Mobile App,192.16,83.8,True,False,Region-11
FRD00745,CUST006874,2024-12-17,Card Fraud,Mobile App,586.45,594.97,False,True,Region-01
FRD00746,CUST012873,2023-03-30,Unusual Transaction Pattern,Branch,661.94,135.07,True,False,Region-04
FRD00747,CUST018828,2023-04-12,Card Fraud,Card Network,677.29,18.98,True,False,Region-11
FRD00748,CUST016889,2023-03-22,ATM Fraud,ATM,288.7,1339.51,False,True,Region-12
FRD00749,CUST004043,2023-12-04,Suspicious Transfer,Online Banking,493.45,77.78,True,False,Region-09
FRD00750,CUST000958,2023-01-27,Suspicious Transfer,Card Network,1109.32,56.27,True,False,Region-02
FRD00751,CUST003962,2023-05-11,Suspicious Transfer,Mobile App,966.32,5.66,True,False,Region-05
FRD00752,CUST000825,2023-05-01,Card Fraud,Mobile App,555.39,28.95,True,False,Region-09
FRD00753,CUST018616,2024-02-04,Suspicious Transfer,ATM,647.88,39.76,True,False,Region-03
FRD00754,CUST000075,2024-01-16,Account Takeover,Online Banking,528.67,254.14,True,False,Region-09
FRD00755,CUST003809,2024-02-07,Unusual Transaction Pattern,ATM,567.42,25.48,True,False,Region-12
FRD00756,CUST019046,2024-03-04,Account Takeover,Card Network,675.37,8.04,True,False,Region-03
FRD00757,CUST019208,2023-10-02,Card Fraud,Card Network,898.32,274.83,True,False,Region-10
FRD00758,CUST015915,2023-09-12,Suspicious Transfer,ATM,1002.47,136.19,True,False,Region-09
FRD00759,CUST007463,2023-03-21,Account Takeover,Mobile App,149.09,43.17,True,False,Region-06
FRD00760,CUST001084,2023-11-29,Card Fraud,Card Network,294.79,104.27,True,False,Region-06
FRD00761,CUST006265,2024-05-01,Unusual Transaction Pattern,Card Network,392.43,31.99,True,False,Region-11
FRD00762,CUST011578,2024-09-19,Unusual Transaction Pattern,Mobile App,994.56,26.4,True,False,Region-10
FRD00763,CUST014577,2024-04-14,Card Fraud,ATM,647.57,83.0,True,False,Region-04
FRD00764,CUST004105,2023-11-19,Account Takeover,Online Banking,377.11,61.24,True,False,Region-02
