employee_id,branch_id,role,hire_date,performance_score
EMP00518,BR024,Personal Banker,2017-04-23,62.6
EMP00519,BR024,Credit Officer,2020-02-21,66.2
EMP00520,BR024,Teller,2012-06-30,73.7
EMP00521,BR024,Teller,2015-10-31,59.5
EMP00522,BR024,Teller,2023-07-13,83.7
EMP00523,BR024,Branch Manager,2023-07-18,70.5
EMP00524,BR024,Credit Officer,2013-12-01,70.1
EMP00525,BR024,Personal Banker,2021-10-07,86.0
EMP00526,BR024,Credit Officer,2017-06-25,85.3
EMP00527,BR024,Teller,2018-04-29,61.5
EMP00528,BR024,Teller,2015-07-11,89.9
EMP00529,BR024,Relationship Manager,2018-08-30,84.9
EMP00530,BR024,Branch Manager,2022-03-24,55.7
EMP00531,BR024,Teller,2023-05-16,81.7
EMP00532,BR024,Personal Banker,2021-10-21,78.5
EMP00533,BR025,Credit Officer,2017-05-24,40.6
EMP00534,BR025,Personal Banker,2020-09-06,73.0
EMP00535,BR025,Personal Banker,2014-05-26,90.0
EMP00536,BR025,Teller,2016-10-27,79.0
EMP00537,BR025,Personal Banker,2014-05-21,92.7
EMP00538,BR025,Teller,2023-06-20,80.5
EMP00539,BR025,Teller,2015-06-25,82.2
