loan_id,customer_id,product_id,loan_type,origination_date,term_months,interest_rate,loan_amount,outstanding_balance,probability_of_default,exposure_at_default,loss_given_default,dpd_bucket,default_flag,risk_bucket,branch_id,region,acquisition_channel,expected_credit_loss
LN002847,CUST003631,PRD11,Overdraft Facility,2022-02-11,12,0.2,12507.25,3665.32,0.0133,11587.37,0.413,Current,False,Moderate,BR013,Region-01,CH08,63.65
LN002848,CUST003632,PRD05,Personal Loan,2020-03-13,36,0.16,4084.36,2108.76,0.0082,3269.5,0.501,Current,False,Low,BR004,Region-07,CH05,13.43
LN002849,CUST003632,PRD06,Auto Loan,2019-09-09,60,0.11,2943.5,1365.54,0.004,1533.86,0.341,Current,False,Low,BR004,Region-07,CH05,2.09
LN002850,CUST003632,PRD11,Overdraft Facility,2020-12-22,12,0.2,4923.1,4294.93,0.0062,4247.82,0.284,Current,False,Low,BR004,Region-07,CH05,7.48
LN002851,CUST003634,PRD08,Consumer Loan,2024-11-20,24,0.18,2015.4,621.89,0.035,1396.19,0.513,Current,False,Elevated,BR013,Region-11,CH11,25.07
LN002852,CUST003635,PRD05,Personal Loan,2023-05-27,36,0.16,8231.8,4755.9,0.0151,7464.52,0.381,Current,False,Moderate,BR017,Region-12,CH09,42.94
LN002853,CUST003635,PRD06,Auto Loan,2024-03-13,60,0.11,2539.3,641.31,0.0172,2384.04,0.5,Current,False,Moderate,BR017,Region-12,CH09,20.5
LN002854,CUST003639,PRD05,Personal Loan,2022-10-08,36,0.16,11224.28,5571.59,0.0059,7282.12,0.184,Current,False,Moderate,BR023,Region-09,CH05,7.91
LN002855,CUST003641,PRD05,Personal Loan,2018-03-31,36,0.16,2591.85,2084.03,0.0228,2094.71,0.473,Current,False,Elevated,BR025,Region-08,CH06,22.59
LN002856,CUST003641,PRD06,Auto Loan,2016-10-22,60,0.11,5016.16,2773.43,0.0329,3030.12,0.555,Current,False,Elevated,BR025,Region-08,CH06,55.33
LN002857,CUST003642,PRD05,Personal Loan,2024-08-05,36,0.16,1534.07,444.44,0.0237,1465.6,0.4,Current,False,Low,BR023,Region-06,CH10,13.89
LN002858,CUST003642,PRD07,Mortgage,2023-07-22,240,0.085,3077.37,1043.07,0.0124,2652.66,0.482,Current,False,Low,BR023,Region-06,CH10,15.85
LN002859,CUST003643,PRD11,Overdraft Facility,2024-05-23,12,0.2,1464.29,576.91,0.004,1435.87,0.426,Current,False,Low,BR023,Region-02,CH11,2.45
LN002860,CUST003644,PRD07,Mortgage,2023-10-03,240,0.085,15663.43,7760.73,0.0718,15311.67,0.419,Current,False,Elevated,BR009,Region-07,CH10,460.64
LN002861,CUST003645,PRD06,Auto Loan,2023-06-21,60,0.11,25264.16,11630.14,0.0125,16192.91,0.462,Current,False,Moderate,BR025,Region-02,CH03,93.51
LN002862,CUST003645,PRD05,Personal Loan,2017-01-06,36,0.16,10647.84,5233.69,0.014,6595.5,0.502,Current,False,Moderate,BR025,Region-02,CH03,46.35
LN002863,CUST003646,PRD08,Consumer Loan,2022-07-24,24,0.18,2043.0,1071.92,0.0179,1921.61,0.476,30-59,False,Low,BR001,Region-08,CH09,16.37
LN002864,CUST003649,PRD11,Overdraft Facility,2023-02-24,12,0.2,1723.83,478.41,0.0146,1452.59,0.454,Current,False,Moderate,BR007,Region-07,CH10,9.63
LN002865,CUST003651,PRD07,Mortgage,2018-10-27,240,0.085,16568.09,3368.1,0.0712,13328.88,0.458,Current,False,Elevated,BR020,Region-11,CH04,434.65
LN002866,CUST003652,PRD05,Personal Loan,2024-11-09,36,0.16,16038.97,4782.64,0.028,14272.83,0.406,Current,False,Elevated,BR005,Region-02,CH07,162.25
LN002867,CUST003652,PRD11,Overdraft Facility,2024-10-10,12,0.2,10629.14,6679.2,0.0075,7151.96,0.665,Current,False,Elevated,BR005,Region-02,CH07,35.67
LN002868,CUST003652,PRD08,Consumer Loan,2020-07-01,24,0.18,11779.9,4343.28,0.0275,9940.2,0.526,Current,False,Elevated,BR005,Region-02,CH07,143.78
LN002869,CUST003654,PRD05,Personal Loan,2020-02-02,36,0.16,790.75,250.36,0.0192,749.78,0.329,Current,False,Low,BR003,Region-10,CH02,4.74
LN002870,CUST003656,PRD11,Overdraft Facility,2024-05-19,12,0.2,988.25,469.15,0.0251,981.85,0.441,Current,False,Moderate,BR018,Region-07,CH01,10.87
LN002871,CUST003656,PRD07,Mortgage,2024-02-01,240,0.085,4867.18,1869.2,0.0543,4329.87,0.524,30-59,False,Moderate,BR018,Region-07,CH01,123.2
LN002872,CUST003657,PRD07,Mortgage,2024-12-09,240,0.085,5831.28,1683.05,0.0833,3753.47,0.43,Current,False,Moderate,BR004,Region-05,CH05,134.45
LN002873,CUST003659,PRD06,Auto Loan,2024-09-06,60,0.11,1031.81,656.8,0.0524,717.61,0.522,Current,False,High,BR008,Region-04,CH10,19.63
LN002874,CUST003660,PRD05,Personal Loan,2023-10-08,36,0.16,9880.03,8283.14,0.0159,9348.17,0.41,Current,False,Low,BR006,Region-05,CH07,60.94
LN002875,CUST003661,PRD05,Personal Loan,2024-03-16,36,0.16,2366.35,1585.07,0.004,1957.19,0.582,Current,False,Low,BR017,Region-07,CH01,4.56
LN002876,CUST003662,PRD05,Personal Loan,2021-10-13,36,0.16,5686.75,5031.46,0.004,5574.13,0.568,Current,False,Moderate,BR006,Region-07,CH06,12.66
LN002877,CUST003662,PRD11,Overdraft Facility,2022-03-08,12,0.2,7061.45,4324.28,0.0398,4387.79,0.442,30-59,False,Moderate,BR006,Region-07,CH06,77.19
LN002878,CUST003663,PRD05,Personal Loan,2024-11-29,36,0.16,2359.08,588.66,0.0175,1387.56,0.62,Current,False,Moderate,BR011,Region-10,CH03,15.06
LN002879,CUST003667,PRD05,Personal Loan,2024-12-26,36,0.16,4112.78,1042.38,0.004,3377.29,0.43,Current,False,Moderate,BR014,Region-11,CH06,5.81
LN002880,CUST003667,PRD11,Overdraft Facility,2024-12-14,12,0.2,7125.12,2400.76,0.004,5383.46,0.424,Current,False,Moderate,BR014,Region-11,CH06,9.13
LN002881,CUST003668,PRD05,Personal Loan,2024-09-14,36,0.16,10424.79,2857.05,0.0575,8686.88,0.349,Current,False,High,BR004,Region-05,CH09,174.32
LN002882,CUST003669,PRD08,Consumer Loan,2024-06-01,24,0.18,2140.33,913.65,0.02,1746.58,0.527,Current,False,Low,BR021,Region-07,CH11,18.41
LN002883,CUST003670,PRD07,Mortgage,2024-10-11,240,0.085,5139.7,1774.76,0.0601,2826.74,0.434,Current,False,Elevated,BR019,Region-10,CH09,73.73
LN002884,CUST003673,PRD06,Auto Loan,2023-05-21,60,0.11,2521.48,862.39,0.036,1610.9,0.273,Current,False,Elevated,BR001,Region-12,CH09,15.83
LN002885,CUST003674,PRD08,Consumer Loan,2023-09-08,24,0.18,4091.19,1866.79,0.0537,3501.95,0.387,Current,False,Elevated,BR017,Region-10,CH07,72.78
LN002886,CUST003675,PRD07,Mortgage,2019-11-18,240,0.085,10415.66,2556.04,0.0834,9438.01,0.451,Current,False,Elevated,BR020,Region-09,CH12,355.0
LN002887,CUST003677,PRD11,Overdraft Facility,2024-02-01,12,0.2,799.95,734.89,0.021,604.81,0.481,Current,False,Low,BR019,Region-03,CH10,6.11
LN002888,CUST003677,PRD08,Consumer Loan,2023-12-31,24,0.18,500.0,256.34,0.0121,406.59,0.414,Current,False,Low,BR019,Region-03,CH10,2.04
LN002889,CUST003678,PRD05,Personal Loan,2024-08-18,36,0.16,18545.07,15429.15,0.0326,9390.18,0.491,Current,False,Moderate,BR008,Region-11,CH08,150.3
LN002890,CUST003680,PRD06,Auto Loan,2024-12-06,60,0.11,697.55,185.19,0.0097,497.22,0.575,30-59,False,Elevated,BR009,Region-10,CH09,2.77
LN002891,CUST003680,PRD11,Overdraft Facility,2024-10-23,12,0.2,1045.84,249.27,0.038,932.62,0.523,Current,False,Elevated,BR009,Region-10,CH09,18.53
LN002892,CUST003680,PRD07,Mortgage,2024-11-01,240,0.085,5886.06,5019.39,0.0932,5830.76,0.44,Current,False,Elevated,BR009,Region-10,CH09,239.11
LN002893,CUST003681,PRD11,Overdraft Facility,2024-04-01,12,0.2,2285.26,1196.41,0.0206,2042.29,0.397,30-59,False,Elevated,BR016,Region-01,CH07,16.7
LN002894,CUST003681,PRD05,Personal Loan,2024-09-06,36,0.16,4427.88,3431.87,0.0284,4039.42,0.496,Current,False,Elevated,BR016,Region-01,CH07,56.9
LN002895,CUST003682,PRD06,Auto Loan,2023-11-07,60,0.11,704.21,505.69,0.0148,494.42,0.479,Current,False,Low,BR022,Region-07,CH04,3.51
LN002896,CUST003683,PRD05,Personal Loan,2021-12-02,36,0.16,500.0,256.92,0.014,297.63,0.52,Current,False,Moderate,BR010,Region-02,CH11,2.17
LN002897,CUST003684,PRD06,Auto Loan,2024-07-29,60,0.11,6044.77,3308.46,0.0068,3237.55,0.271,Current,False,Moderate,BR020,Region-12,CH07,5.97
LN002898,CUST003684,PRD07,Mortgage,2023-09-08,240,0.085,22385.3,7765.21,0.0536,17570.6,0.398,Current,False,Moderate,BR020,Region-12,CH07,374.83
LN002899,CUST003685,PRD05,Personal Loan,2024-05-26,36,0.16,2213.82,1481.01,0.004,1315.28,0.573,Current,False,Moderate,BR003,Region-06,CH06,3.01
LN002900,CUST003685,PRD07,Mortgage,2022-10-23,240,0.085,13530.76,8547.62,0.0776,13315.8,0.496,Current,False,Moderate,BR003,Region-06,CH06,512.52
LN002901,CUST003686,PRD11,Overdraft Facility,2023-05-08,12,0.2,6483.47,6134.13,0.004,4295.91,0.397,Current,False,Low,BR018,Region-11,CH09,6.82
LN002902,CUST003687,PRD11,Overdraft Facility,2024-10-04,12,0.2,8320.24,3942.62,0.0132,7885.01,0.52,Current,False,Low,BR020,Region-09,CH08,54.12
LN002903,CUST003688,PRD11,Overdraft Facility,2021-03-29,12,0.2,6124.64,5357.34,0.018,3407.58,0.406,Current,False,Moderate,BR020,Region-06,CH03,24.9
LN002904,CUST003689,PRD11,Overdraft Facility,2022-11-30,12,0.2,2092.94,1115.49,0.004,1450.49,0.361,Current,False,Moderate,BR010,Region-03,CH08,2.09
LN002905,CUST003690,PRD11,Overdraft Facility,2024-04-24,12,0.2,19049.24,5943.13,0.004,18379.44,0.532,Current,False,Low,BR019,Region-06,CH04,39.11
LN002906,CUST003691,PRD07,Mortgage,2020-10-10,240,0.085,5752.78,5273.67,0.0737,5568.42,0.657,Current,False,Moderate,BR025,Region-04,CH09,269.63
LN002907,CUST003693,PRD11,Overdraft Facility,2020-11-18,12,0.2,7167.72,2230.79,0.0048,3988.43,0.335,Current,False,Moderate,BR025,Region-05,CH07,6.41
LN002908,CUST003694,PRD08,Consumer Loan,2024-11-15,24,0.18,1331.34,505.9,0.02,1006.57,0.468,Current,False,High,BR010,Region-03,CH07,9.42
LN002909,CUST003696,PRD08,Consumer Loan,2023-11-18,24,0.18,6372.07,3902.59,0.004,5382.04,0.602,Current,False,Low,BR003,Region-11,CH12,12.96
LN002910,CUST003697,PRD06,Auto Loan,2021-10-12,60,0.11,10579.61,8781.48,0.0248,5672.2,0.531,Current,False,Low,BR005,Region-03,CH12,74.7
LN002911,CUST003697,PRD11,Overdraft Facility,2023-08-17,12,0.2,7127.92,3229.65,0.0169,5439.25,0.485,Current,False,Low,BR005,Region-03,CH12,44.58
LN002912,CUST003698,PRD05,Personal Loan,2020-04-25,36,0.16,11508.01,5370.17,0.0166,6699.24,0.701,Current,False,Moderate,BR013,Region-03,CH06,77.96
LN002913,CUST003700,PRD05,Personal Loan,2023-03-15,36,0.16,653.53,545.3,0.004,441.2,0.553,Current,False,Moderate,BR019,Region-06,CH10,0.98
LN002914,CUST003700,PRD07,Mortgage,2020-12-16,240,0.085,2478.3,1161.76,0.0264,2393.16,0.477,Current,False,Moderate,BR019,Region-06,CH10,30.14
LN002915,CUST003701,PRD08,Consumer Loan,2024-10-17,24,0.18,1339.45,966.03,0.0392,1061.5,0.514,Current,False,High,BR020,Region-08,CH09,21.39
LN002916,CUST003702,PRD05,Personal Loan,2024-01-28,36,0.16,6260.99,5154.64,0.004,3814.87,0.433,30-59,False,Low,BR019,Region-04,CH10,6.61
LN002917,CUST003703,PRD05,Personal Loan,2024-10-11,36,0.16,1061.84,631.99,0.0241,846.22,0.368,30-59,False,High,BR001,Region-07,CH11,7.5
LN002918,CUST003704,PRD05,Personal Loan,2024-12-28,36,0.16,500.0,203.23,0.0155,260.78,0.455,Current,False,Low,BR012,Region-05,CH04,1.84
LN002919,CUST003704,PRD11,Overdraft Facility,2024-04-09,12,0.2,906.45,341.7,0.004,864.9,0.447,Current,False,Low,BR012,Region-05,CH04,1.55
LN002920,CUST003704,PRD08,Consumer Loan,2023-10-24,24,0.18,1425.15,938.76,0.004,1347.07,0.442,Current,False,Low,BR012,Region-05,CH04,2.38
LN002921,CUST003705,PRD06,Auto Loan,2017-10-01,60,0.11,3034.78,921.31,0.0257,1777.06,0.543,Current,False,Moderate,BR014,Region-01,CH01,24.8
LN002922,CUST003707,PRD07,Mortgage,2022-05-20,240,0.085,6783.38,3806.27,0.0374,5369.88,0.508,Current,False,Low,BR008,Region-10,CH11,102.02
LN002923,CUST003709,PRD08,Consumer Loan,2023-12-04,24,0.18,548.27,280.89,0.0056,425.8,0.414,Current,False,Elevated,BR002,Region-06,CH02,0.99
LN002924,CUST003710,PRD05,Personal Loan,2024-02-10,36,0.16,6925.72,4740.58,0.0217,6872.89,0.418,Current,False,Moderate,BR012,Region-07,CH10,62.34
LN002925,CUST003710,PRD06,Auto Loan,2019-03-22,60,0.11,3950.98,3283.78,0.004,2604.22,0.465,Current,False,Moderate,BR012,Region-07,CH10,4.84
LN002926,CUST003711,PRD07,Mortgage,2022-09-19,240,0.085,5132.52,2681.54,0.0834,3202.69,0.448,30-59,False,Elevated,BR011,Region-07,CH03,119.66
LN002927,CUST003713,PRD11,Overdraft Facility,2024-02-16,12,0.2,1924.95,1188.98,0.0121,1772.04,0.477,Current,False,Elevated,BR004,Region-09,CH03,10.23
LN002928,CUST003714,PRD11,Overdraft Facility,2022-02-18,12,0.2,1458.13,703.36,0.048,1365.03,0.49,Current,False,High,BR025,Region-05,CH10,32.11
LN002929,CUST003714,PRD07,Mortgage,2022-02-08,240,0.085,2763.03,2596.77,0.0827,2019.58,0.496,30-59,False,High,BR025,Region-05,CH10,82.84
LN002930,CUST003718,PRD08,Consumer Loan,2024-03-26,24,0.18,500.0,200.25,0.004,367.03,0.608,Current,False,Low,BR001,Region-06,CH11,0.89
LN002931,CUST003719,PRD06,Auto Loan,2024-12-30,60,0.11,5389.53,3211.65,0.0368,4774.58,0.339,90+,True,Elevated,BR007,Region-06,CH08,59.56
LN002932,CUST003721,PRD05,Personal Loan,2021-07-14,36,0.16,7365.04,3017.63,0.0134,6794.02,0.378,30-59,False,Moderate,BR010,Region-03,CH10,34.41
LN002933,CUST003724,PRD08,Consumer Loan,2023-12-16,24,0.18,584.1,551.04,0.008,393.83,0.679,30-59,False,Low,BR020,Region-04,CH12,2.14
LN002934,CUST003725,PRD06,Auto Loan,2022-03-14,60,0.11,4027.78,881.93,0.0094,2854.07,0.465,Current,False,Low,BR021,Region-04,CH04,12.48
LN002935,CUST003725,PRD08,Consumer Loan,2024-02-20,24,0.18,2139.72,1345.81,0.004,1835.63,0.426,Current,False,Low,BR021,Region-04,CH04,3.13
LN002936,CUST003727,PRD05,Personal Loan,2021-03-28,36,0.16,6888.63,6440.93,0.0216,4183.82,0.601,Current,False,Moderate,BR012,Region-06,CH12,54.31
LN002937,CUST003727,PRD11,Overdraft Facility,2019-08-21,12,0.2,6348.47,2064.64,0.0175,4672.51,0.45,Current,False,Moderate,BR012,Region-06,CH12,36.8
LN002938,CUST003727,PRD08,Consumer Loan,2019-12-13,24,0.18,6119.81,3015.65,0.004,4615.77,0.362,Current,False,Moderate,BR012,Region-06,CH12,6.68
LN002939,CUST003729,PRD05,Personal Loan,2024-02-16,36,0.16,14860.34,3687.92,0.0249,14170.12,0.356,Current,False,Low,BR015,Region-11,CH01,125.61
LN002940,CUST003729,PRD11,Overdraft Facility,2020-12-20,12,0.2,15340.13,8891.18,0.0099,13147.32,0.31,Current,False,Low,BR015,Region-11,CH01,40.35
LN002941,CUST003729,PRD07,Mortgage,2022-03-07,240,0.085,27782.56,15897.95,0.004,23204.2,0.389,Current,False,Low,BR015,Region-11,CH01,36.11
LN002942,CUST003730,PRD05,Personal Loan,2021-01-09,36,0.16,2924.09,1242.73,0.004,2256.24,0.38,Current,False,Low,BR010,Region-01,CH12,3.43
LN002943,CUST003732,PRD07,Mortgage,2024-12-21,240,0.085,19213.68,12197.29,0.0467,14311.09,0.425,Current,False,Elevated,BR025,Region-07,CH01,284.04
LN002944,CUST003733,PRD06,Auto Loan,2023-08-02,60,0.11,14054.11,10106.9,0.0139,12899.85,0.446,60-89,False,Elevated,BR023,Region-12,CH11,79.97
LN002945,CUST003733,PRD11,Overdraft Facility,2023-03-21,12,0.2,5648.02,2876.84,0.0306,3329.3,0.415,Current,False,Elevated,BR023,Region-12,CH11,42.28
LN002946,CUST003734,PRD07,Mortgage,2022-01-16,240,0.085,109764.79,67223.75,0.0785,94398.04,0.458,30-59,False,Moderate,BR008,Region-05,CH03,3393.89
LN002947,CUST003737,PRD05,Personal Loan,2018-09-14,36,0.16,10775.57,2818.64,0.0335,8080.18,0.366,Current,False,Elevated,BR003,Region-06,CH10,99.07
LN002948,CUST003737,PRD11,Overdraft Facility,2020-06-12,12,0.2,12568.88,10258.78,0.0362,10562.56,0.605,Current,False,Elevated,BR003,Region-06,CH10,231.33
LN002949,CUST003738,PRD11,Overdraft Facility,2019-01-02,12,0.2,604.38,271.33,0.0304,539.63,0.551,Current,False,Moderate,BR006,Region-08,CH04,9.04
LN002950,CUST003738,PRD07,Mortgage,2019-07-05,240,0.085,10152.28,9326.29,0.0584,8372.05,0.357,30-59,False,Moderate,BR006,Region-08,CH04,174.55
LN002951,CUST003740,PRD06,Auto Loan,2024-12-05,60,0.11,36913.57,21153.52,0.0388,28324.25,0.506,Current,False,Elevated,BR020,Region-10,CH02,556.08
LN002952,CUST003740,PRD08,Consumer Loan,2024-12-07,24,0.18,36228.18,21997.6,0.0343,26408.43,0.401,Current,False,Elevated,BR020,Region-10,CH02,363.23
LN002953,CUST003741,PRD06,Auto Loan,2024-11-07,60,0.11,3190.77,737.26,0.004,2561.81,0.418,Current,False,Elevated,BR003,Region-01,CH09,4.28
LN002954,CUST003743,PRD06,Auto Loan,2022-12-12,60,0.11,3739.9,1450.94,0.0122,3272.55,0.492,Current,False,Moderate,BR016,Region-03,CH05,19.64
LN002955,CUST003744,PRD05,Personal Loan,2022-04-13,36,0.16,6371.12,1509.48,0.0123,3817.82,0.599,Current,False,Low,BR002,Region-07,CH08,28.13
LN002956,CUST003747,PRD06,Auto Loan,2023-08-22,60,0.11,8998.78,5314.77,0.0139,6535.24,0.262,Current,False,Moderate,BR016,Region-09,CH04,23.8
LN002957,CUST003747,PRD07,Mortgage,2024-08-14,240,0.085,31412.62,9038.87,0.052,25976.93,0.532,Current,False,Moderate,BR016,Region-09,CH04,718.63
LN002958,CUST003749,PRD05,Personal Loan,2023-09-03,36,0.16,737.03,640.16,0.0144,518.81,0.514,Current,False,Low,BR007,Region-05,CH04,3.84
LN002959,CUST003751,PRD05,Personal Loan,2024-07-10,36,0.16,1526.82,1449.47,0.0274,981.5,0.503,Current,False,Elevated,BR021,Region-01,CH10,13.53
LN002960,CUST003752,PRD07,Mortgage,2021-08-24,240,0.085,4813.8,1683.87,0.0054,3261.13,0.327,Current,False,Low,BR013,Region-12,CH10,5.76
LN002961,CUST003752,PRD08,Consumer Loan,2020-02-17,24,0.18,2071.02,1105.63,0.0162,1724.79,0.314,Current,False,Low,BR013,Region-12,CH10,8.77
LN002962,CUST003752,PRD05,Personal Loan,2022-08-24,36,0.16,1973.86,1242.15,0.0392,1034.65,0.523,Current,False,Low,BR013,Region-12,CH10,21.21
LN002963,CUST003753,PRD06,Auto Loan,2022-10-30,60,0.11,4201.78,1243.99,0.0382,3710.35,0.592,Current,False,Low,BR009,Region-10,CH10,83.91
LN002964,CUST003754,PRD08,Consumer Loan,2024-10-09,24,0.18,2956.51,1542.93,0.004,2300.52,0.309,Current,False,Moderate,BR008,Region-05,CH07,2.84
LN002965,CUST003756,PRD06,Auto Loan,2022-04-20,60,0.11,10949.36,5803.36,0.042,8863.93,0.353,Current,False,Elevated,BR023,Region-09,CH10,131.42
LN002966,CUST003756,PRD11,Overdraft Facility,2023-07-17,12,0.2,15158.82,6120.95,0.038,10588.7,0.687,Current,False,Elevated,BR023,Region-09,CH10,276.43
LN002967,CUST003759,PRD07,Mortgage,2017-08-31,240,0.085,9290.34,2414.74,0.0442,6999.41,0.235,Current,False,Moderate,BR013,Region-10,CH04,72.7
LN002968,CUST003760,PRD08,Consumer Loan,2021-06-04,24,0.18,1932.08,1687.05,0.01,1348.6,0.423,Current,False,High,BR013,Region-11,CH05,5.7
LN002969,CUST003762,PRD08,Consumer Loan,2023-11-02,24,0.18,819.68,367.17,0.0055,797.58,0.397,Current,False,Moderate,BR009,Region-09,CH10,1.74
LN002970,CUST003766,PRD06,Auto Loan,2024-07-01,60,0.11,500.0,199.41,0.004,409.28,0.623,Current,False,Low,BR015,Region-04,CH03,1.02
LN002971,CUST003767,PRD11,Overdraft Facility,2024-07-19,12,0.2,2831.3,1104.14,0.007,1585.7,0.545,Current,False,Low,BR016,Region-10,CH04,6.05
LN002972,CUST003768,PRD07,Mortgage,2023-04-04,240,0.085,36624.48,7793.59,0.0381,23286.12,0.435,30-59,False,Moderate,BR023,Region-05,CH08,385.93
LN002973,CUST003768,PRD08,Consumer Loan,2023-04-21,24,0.18,5857.87,1692.64,0.004,3864.72,0.523,90+,True,Moderate,BR023,Region-05,CH08,8.08
LN002974,CUST003769,PRD08,Consumer Loan,2024-10-07,24,0.18,23681.75,11979.51,0.0122,19036.15,0.39,Current,False,Elevated,BR001,Region-12,CH04,90.57
LN002975,CUST003770,PRD07,Mortgage,2024-10-08,240,0.085,39929.39,11633.08,0.1134,27787.67,0.327,Current,False,Elevated,BR008,Region-04,CH01,1030.42
LN002976,CUST003770,PRD08,Consumer Loan,2024-06-01,24,0.18,10398.32,8578.31,0.0256,6591.07,0.66,Current,False,Elevated,BR008,Region-04,CH01,111.36
LN002977,CUST003772,PRD06,Auto Loan,2023-04-15,60,0.11,3606.51,1420.79,0.0086,2826.67,0.425,Current,False,High,BR013,Region-06,CH11,10.33
LN002978,CUST003772,PRD07,Mortgage,2024-06-08,240,0.085,15485.86,12483.29,0.1375,8401.1,0.417,30-59,False,High,BR013,Region-06,CH11,481.7
LN002979,CUST003774,PRD07,Mortgage,2024-04-18,240,0.085,13616.53,11119.06,0.0181,12742.89,0.397,Current,False,Moderate,BR009,Region-05,CH09,91.57
LN002980,CUST003775,PRD06,Auto Loan,2021-12-06,60,0.11,896.09,716.02,0.016,629.76,0.436,Current,False,Critical,BR016,Region-04,CH03,4.39
LN002981,CUST003775,PRD08,Consumer Loan,2022-02-07,24,0.18,5051.45,1757.76,0.052,4194.98,0.355,30-59,False,Critical,BR016,Region-04,CH03,77.44
LN002982,CUST003776,PRD08,Consumer Loan,2023-02-26,24,0.18,5947.55,4914.0,0.0214,4399.82,0.521,Current,False,Low,BR022,Region-10,CH08,49.06
LN002983,CUST003777,PRD06,Auto Loan,2024-07-02,60,0.11,671.22,416.19,0.0155,410.47,0.422,Current,False,High,BR008,Region-05,CH12,2.68
LN002984,CUST003777,PRD05,Personal Loan,2024-12-03,36,0.16,562.77,220.87,0.0337,521.94,0.342,Current,False,High,BR008,Region-05,CH12,6.02
LN002985,CUST003779,PRD05,Personal Loan,2019-10-15,36,0.16,3881.55,3175.22,0.008,3381.57,0.431,Current,False,Moderate,BR017,Region-02,CH05,11.66
LN002986,CUST003781,PRD08,Consumer Loan,2024-01-20,24,0.18,6011.0,3419.89,0.004,3298.48,0.491,Current,False,Moderate,BR020,Region-09,CH01,6.48
LN002987,CUST003782,PRD11,Overdraft Facility,2023-09-10,12,0.2,4024.92,2622.43,0.01,3004.91,0.49,Current,False,Moderate,BR011,Region-03,CH12,14.72
LN002988,CUST003785,PRD11,Overdraft Facility,2023-07-27,12,0.2,1191.72,735.46,0.0198,1132.62,0.37,Current,False,Moderate,BR002,Region-10,CH12,8.3
LN002989,CUST003785,PRD07,Mortgage,2023-03-31,240,0.085,16173.29,5696.04,0.0782,11641.49,0.455,Current,False,Moderate,BR002,Region-10,CH12,414.22
LN002990,CUST003789,PRD06,Auto Loan,2024-09-22,60,0.11,7930.46,4954.73,0.004,7589.37,0.541,Current,False,Moderate,BR011,Region-12,CH04,16.42
LN002991,CUST003790,PRD07,Mortgage,2024-11-20,240,0.085,11665.44,9956.72,0.0456,11499.62,0.538,Current,False,Moderate,BR018,Region-02,CH11,282.12
LN002992,CUST003791,PRD08,Consumer Loan,2024-01-16,24,0.18,2518.72,1276.67,0.0241,1999.39,0.4,Current,False,Low,BR002,Region-05,CH09,19.27
LN002993,CUST003792,PRD11,Overdraft Facility,2020-05-03,12,0.2,500.0,266.32,0.004,322.92,0.528,Current,False,Low,BR007,Region-11,CH02,0.68
LN002994,CUST003793,PRD05,Personal Loan,2023-11-06,36,0.16,5851.87,2138.03,0.004,5749.58,0.687,Current,False,Low,BR017,Region-12,CH02,15.8
LN002995,CUST003793,PRD06,Auto Loan,2024-08-03,60,0.11,10685.37,8429.0,0.004,7783.54,0.293,Current,False,Low,BR017,Region-12,CH02,9.12
LN002996,CUST003795,PRD06,Auto Loan,2022-11-28,60,0.11,3190.63,1873.37,0.0218,3058.25,0.453,Current,False,Elevated,BR015,Region-09,CH03,30.2
LN002997,CUST003799,PRD07,Mortgage,2023-07-09,240,0.085,4431.79,1739.14,0.0536,3024.42,0.548,Current,False,Moderate,BR007,Region-10,CH01,88.84
LN002998,CUST003801,PRD06,Auto Loan,2018-12-22,60,0.11,2316.79,1439.02,0.0184,1285.62,0.451,Current,False,Elevated,BR008,Region-07,CH09,10.67
LN002999,CUST003801,PRD05,Personal Loan,2019-02-08,36,0.16,3792.85,3109.71,0.0349,3430.05,0.377,Current,False,Elevated,BR008,Region-07,CH09,45.13
LN003000,CUST003803,PRD11,Overdraft Facility,2022-12-10,12,0.2,11306.3,3999.48,0.0151,10298.4,0.492,Current,False,Low,BR003,Region-03,CH03,76.51
LN003001,CUST003804,PRD06,Auto Loan,2020-10-05,60,0.11,2407.86,625.04,0.0182,1889.11,0.404,Current,False,Low,BR012,Region-07,CH09,13.89
LN003002,CUST003804,PRD11,Overdraft Facility,2017-06-22,12,0.2,3140.64,1914.97,0.0372,1776.42,0.497,60-89,False,Low,BR012,Region-07,CH09,32.84
LN003003,CUST003804,PRD08,Consumer Loan,2023-12-24,24,0.18,2155.9,1716.76,0.0206,2013.3,0.469,Current,False,Low,BR012,Region-07,CH09,19.45
LN003004,CUST003806,PRD05,Personal Loan,2020-11-23,36,0.16,2803.12,1146.1,0.004,2356.3,0.489,Current,False,Low,BR019,Region-01,CH09,4.61
LN003005,CUST003808,PRD05,Personal Loan,2020-05-21,36,0.16,7932.73,4066.59,0.0342,7622.46,0.32,Current,False,Moderate,BR008,Region-10,CH08,83.42
LN003006,CUST003809,PRD05,Personal Loan,2024-09-26,36,0.16,5039.27,3867.02,0.0332,3856.85,0.286,Current,False,Elevated,BR002,Region-12,CH11,36.62
LN003007,CUST003809,PRD06,Auto Loan,2024-09-12,60,0.11,5105.16,4047.0,0.035,4090.21,0.577,Current,False,Elevated,BR002,Region-12,CH11,82.6
