customer_id,recommended_product,propensity_score,expected_annual_revenue
CUST017379,Personal Loan,0.7207,3.33
CUST017392,Bancassurance,0.7618,31.03
CUST017409,Investment Account,0.736,2.95
CUST017410,Bancassurance,0.7736,31.03
CUST017457,Auto Loan,0.7213,2.23
CUST017510,Personal Loan,0.7098,3.33
CUST017534,Term Deposit,0.7047,0.0
CUST017537,Bancassurance,0.7427,31.03
CUST017555,Investment Account,0.7307,2.95
CUST017561,Bancassurance,0.7413,31.03
CUST017620,Investment Account,0.7357,2.95
CUST017630,Bancassurance,0.7512,31.03
CUST017656,Auto Loan,0.7151,2.23
CUST017681,Credit Card,0.7502,5.87
CUST017714,Bancassurance,0.7327,31.03
CUST017724,Personal Loan,0.7045,3.33
CUST017775,Credit Card,0.7423,5.87
CUST017840,Investment Account,0.7521,2.95
CUST017857,Credit Card,0.7265,5.87
CUST017868,Bancassurance,0.7377,31.03
CUST017872,Investment Account,0.7281,2.95
CUST017903,Investment Account,0.7287,2.95
CUST017928,Personal Loan,0.7085,3.33
CUST017976,Bancassurance,0.7317,31.03
CUST017979,Auto Loan,0.7245,2.23
CUST018003,Bancassurance,0.7347,31.03
CUST018011,Credit Card,0.7224,5.87
CUST018067,Auto Loan,0.7534,2.23
CUST018190,Term Deposit,0.7059,0.0
CUST018194,Personal Loan,0.7118,3.33
CUST018218,Auto Loan,0.7205,2.23
CUST018303,Auto Loan,0.7184,2.23
CUST018322,Term Deposit,0.7018,0.0
CUST018335,Term Deposit,0.7235,0.0
CUST018365,Investment Account,0.7354,2.95
CUST018412,Auto Loan,0.7385,2.23
CUST018436,Auto Loan,0.7519,2.23
CUST018494,Term Deposit,0.719,0.0
CUST018503,Credit Card,0.7287,5.87
CUST018561,Auto Loan,0.731,2.23
CUST018566,Credit Card,0.7271,5.87
CUST018572,Term Deposit,0.7104,0.0
CUST018590,Bancassurance,0.7387,31.03
CUST018604,Investment Account,0.7386,2.95
CUST018613,Auto Loan,0.7548,2.23
CUST018631,Credit Card,0.757,5.87
CUST018655,Credit Card,0.7228,5.87
CUST018680,Investment Account,0.7325,2.95
CUST018710,Investment Account,0.7302,2.95
CUST018798,Term Deposit,0.7105,0.0
CUST018836,Investment Account,0.7419,2.95
CUST018917,Auto Loan,0.7516,2.23
CUST018938,Credit Card,0.723,5.87
CUST018974,Personal Loan,0.7043,3.33
CUST019008,Auto Loan,0.7326,2.23
CUST019055,Bancassurance,0.7603,31.03
CUST019064,Investment Account,0.7402,2.95
CUST019111,Credit Card,0.7366,5.87
CUST019130,Credit Card,0.7447,5.87
CUST019147,Credit Card,0.7299,5.87
CUST019185,Credit Card,0.7325,5.87
CUST019199,Credit Card,0.741,5.87
CUST019204,Investment Account,0.7275,2.95
CUST019213,Personal Loan,0.7084,3.33
CUST019229,Term Deposit,0.7056,0.0
CUST019235,Credit Card,0.7268,5.87
CUST019242,Credit Card,0.7467,5.87
CUST019246,Personal Loan,0.701,3.33
CUST019308,Personal Loan,0.7062,3.33
CUST019379,Bancassurance,0.7382,31.03
CUST019412,Credit Card,0.7386,5.87
CUST019416,Personal Loan,0.7279,3.33
CUST019445,Investment Account,0.7362,2.95
CUST019458,Credit Card,0.7256,5.87
CUST019469,Credit Card,0.7545,5.87
CUST019485,Bancassurance,0.7541,31.03
CUST019510,Bancassurance,0.7501,31.03
CUST019538,Auto Loan,0.729,2.23
CUST019539,Credit Card,0.7429,5.87
CUST019607,Credit Card,0.7292,5.87
CUST019678,Personal Loan,0.7069,3.33
CUST019688,Personal Loan,0.716,3.33
CUST019698,Auto Loan,0.7289,2.23
CUST019744,Investment Account,0.748,2.95
CUST019765,Bancassurance,0.7388,31.03
CUST019843,Credit Card,0.7279,5.87
CUST019920,Investment Account,0.727,2.95
CUST019972,Bancassurance,0.7366,31.03
CUST019975,Personal Loan,0.7019,3.33
CUST019983,Credit Card,0.7268,5.87
CUST019988,Bancassurance,0.7301,31.03
